multiplicity,Associated yield
24.94788044,-0.000104609
34.95265487,-0.000118354
44.96613648,0.000165537
54.97636434,0.002481772
64.98323209,0.006636479
75.00386421,0.013460248
85.03062626,0.020093798
95.03798167,0.02843986
105.0522315,0.03063732
115.0603414,0.037310625
125.0724914,0.050264139
