ALICE 13 pT,ALICE 13,CMS 13 pT,CMS 13,CMS 7 pT,CNS 7
0.10550000000000001,4.6336826972917674e-05,0.10550000000000001,9.21200126005094e-05,0.10550000000000001,3.032842617498732e-05
0.11651101101101102,6.295836513924426e-05,0.11651101101101102,0.00011709197533093466,0.11651101101101102,3.891423394334449e-05
0.127522022022022,8.315995627296258e-05,0.127522022022022,0.00014540086403661955,0.127522022022022,4.873082854589398e-05
0.13853303303303305,0.00010726128779668426,0.13853303303303305,0.000177120412291894,0.13853303303303305,5.9814365225638625e-05
0.14954404404404403,0.00013556183255666377,0.14954404404404403,0.00021232293467584934,0.14954404404404403,7.219955339195856e-05
0.16055505505505507,0.00016833831381707202,0.16055505505505507,0.0002510806456214169,0.16055505505505507,8.592013180772193e-05
0.17156606606606606,0.0002058428932678975,0.17156606606606606,0.00029346662916649585,0.17156606606606606,0.00010100925136872737
0.18257707707707707,0.0002483020932761899,0.18257707707707707,0.000339555511116496,0.18257707707707707,0.00011749978487326617
0.19358808808808808,0.00029591643059491673,0.19358808808808808,0.00038942387847872234,0.19358808808808808,0.00013542457592547353
0.2045990990990991,0.0003488607089208119,0.2045990990990991,0.00044315048727388336,0.2045990990990991,0.00015481663549195518
0.2156101101101101,0.0004072848936791261,0.2156101101101101,0.0005008162967364217,0.2156101101101101,0.00017570929274863156
0.22662112112112112,0.0004713154751708037,0.22662112112112112,0.0005625043646465583,0.22662112112112112,0.00019813630582741918
0.2376321321321321,0.0005410572160471027,0.2376321321321321,0.000628299634882892,0.2376321321321321,0.00022213193746249173
0.24864314314314312,0.0006165951756837065,0.24864314314314312,0.0006982886443171266,0.24864314314314312,0.0002477310001189751
0.25965415415415416,0.0006979969066416357,0.25965415415415416,0.0007725591720753678,0.25965415415415416,0.00027496887484678616
0.27066516516516514,0.0007853147259299837,0.27066516516516514,0.0008511998501649328,0.27066516516516514,0.0003038815077812001
0.28167617617617613,0.0008785879749575653,0.28167617617617613,0.0009342997506851533,0.28167617617617613,0.00033450538788425696
0.29268718718718717,0.0009778451955785579,0.29268718718718717,0.0010219479614304852,0.29268718718718717,0.00036687750918055974
0.3036981981981982,0.001083106164286121,0.3036981981981982,0.0011142331587269674,0.3036981981981982,0.0004010353203901032
0.3147092092092092,0.0011943837413392337,0.3147092092092092,0.0012112431838466817,0.3147092092092092,0.00043701666450746265
0.3257202202202202,0.0013116855055848998,0.3257202202202202,0.0013130646273090442,0.3257202202202202,0.0004748597105295614
0.33673123123123117,0.001435015158355564,0.33673123123123117,0.0014197824237700534,0.33673123123123117,0.0005146028792024785
0.34774224224224226,0.0015643736906940132,0.34774224224224226,0.0015314794589700318,0.34774224224224226,0.0005562847643476847
0.35875325325325325,0.0016997603171000396,0.35875325325325325,0.001648236189302944,0.35875325325325325,0.0005999440510454884
0.36976426426426423,0.0018411731859768994,0.36976426426426423,0.0017701302739278743,0.36976426426426423,0.000645619431700922
0.3807752752752752,0.001988609882079,0.3807752752752752,0.001897236218913397,0.3807752752752752,0.0006933495207962436
0.3917862862862862,0.0021420677397054194,0.3917862862862862,0.0020296250326402076,0.3917862862862862,0.0007431727689445017
0.4027972972972973,0.002301543987376936,0.4027972972972973,0.002167363891546063,0.4027972972972973,0.0007951273766986515
0.4138083083083083,0.0024670357455296487,0.4138083083083083,0.00231051581524532,0.4138083083083083,0.0008492512084384064
0.42481931931931927,0.002638539898606522,0.42481931931931927,0.0024591393500667637,0.42481931931931927,0.0009055817065497323
0.43583033033033025,0.002816052862065062,0.43583033033033025,0.0026132882601051935,0.43583033033033025,0.0009641558060262761
0.44684134134134135,0.0029995702634555803,0.44684134134134135,0.002773011224960276,0.44684134134134135,0.0010250098495560114
0.45785235235235233,0.0031890865550360022,0.45785235235235233,0.0029383515434244735,0.45785235235235233,0.0010881795031055224
0.4688633633633633,0.003384594573528071,0.4688633633633633,0.0031093468424773134,0.4688633633633633,0.0011536996719779548
0.4798743743743743,0.0035860850606942657,0.4798743743743743,0.003286028791032138,0.4798743743743743,0.001221604417294108
0.4908853853853853,0.003793546156519798,0.4908853853853853,0.0034684228179680757,0.4908853853853853,0.001291926872829394
0.5018963963963964,0.004006962874973769,0.5018963963963964,0.0036565478340534023,0.5018963963963964,0.001364699162128663
0.5129074074074074,0.004226316570645583,0.5129074074074074,0.003850415957431609,0.5129074074074074,0.0014399523158161419
0.5239184184184185,0.004451584403026977,0.5239184184184185,0.004050032242393748,0.5239184184184185,0.0015177161890167325
0.5349294294294293,0.004682738803849085,0.5349294294294293,0.004255394411200576,0.5349294294294293,0.0015980193788066948
0.5459404404404404,0.004919746951689469,0.5459404404404404,0.004466492588746696,0.5459404404404404,0.00168088914161593
0.5569514514514514,0.005162570257029838,0.5569514514514514,0.004683309039875894,0.5569514514514514,0.0017663513105095684
0.5679624624624624,0.005411163860057121,0.5679624624624624,0.004905817909159607,0.5679624624624624,0.0018544302122820598
0.5789734734734735,0.0056654761427540595,0.5789734734734735,0.005133984962946998,0.5789734734734735,0.0019451485843044892
0.5899844844844845,0.005925448256192482,0.5899844844844845,0.005367767333474691,0.5899844844844845,0.002038527491071542
0.6009954954954955,0.006191013663420803,0.6009954954954955,0.005607113264798546,0.6009954954954955,0.0021345862404018915
0.6120065065065065,0.006462097697897981,0.6120065065065065,0.0058519618602673115,0.6120065065065065,0.0022333422992506734
0.6230175175175174,0.0067386171370695126,0.6230175175175174,0.0061022428312111805,0.6230175175175174,0.0023348112090998043
0.6340285285285284,0.007020479790377829,0.6340285285285284,0.006357876246454262,0.6340285285285284,0.00243900650089586
0.6450395395395394,0.007307584100749125,0.6450395395395394,0.006618772282187824,0.6450395395395394,0.0025459396095101477
0.6560505505505505,0.007599818758385503,0.6560505505505505,0.006884830971657454,0.6560505505505505,0.0026556197876999787
0.6670615615615615,0.007897062325500553,0.6670615615615615,0.007155941954015888,0.6670615615615615,0.0027680540195520907
0.6780725725725725,0.008199182870472324,0.6780725725725725,0.007431984221587012,0.6780725725725725,0.002883246933393386
0.6890835835835836,0.008506037609724695,0.6890835835835836,0.007712825864656159,0.6890835835835836,0.0030012007141545644
0.7000945945945946,0.008817472555497998,0.7000945945945946,0.007998323812765645,0.7000945945945946,0.003121915015174833
0.7111056056056055,0.009133322167508088,0.7111056056056055,0.008288323571332166,0.7111056056056055,0.003245386869434628
0.7221166166166165,0.009453409006335603,0.7221166166166165,0.008582658952234446,0.7221166166166165,0.0033716106002050885
0.7331276276276275,0.009777543386209026,0.7331276276276275,0.008881151796823512,0.7331276276276275,0.003500577731100396
0.7441386386386386,0.010105523024660267,0.7441386386386386,0.009183611689600675,0.7441386386386386,0.0036322768955181356
0.7551496496496496,0.010437132686328617,0.7551496496496496,0.009489835660580441,0.7551496496496496,0.003766693745449896
0.7661606606606606,0.01077214381797208,0.7661606606606606,0.00979960787411309,0.7661606606606606,0.003903810859640717
0.7771716716716716,0.01111031417151476,0.7771716716716716,0.010112699301685315,0.7771716716716716,0.004043607651071345
0.7881826826826827,0.011451387411722042,0.7881826826826827,0.010428867375954937,0.7881826826826827,0.004186060273731639
0.7991936936936936,0.011795092704854546,0.7991936936936936,0.01074785562301124,0.7991936936936936,0.0043311415286453585
0.8102047047047046,0.01214114428443664,0.8102047047047046,0.011069393269612208,0.8102047047047046,0.004478820769100077
0.8212157157157156,0.012489240990083538,0.8212157157157156,0.011393194821934169,0.8212157157157156,0.004629063805023055
0.8322267267267266,0.012839065775225788,0.8322267267267266,0.011718959612236688,0.8322267267267266,0.004781832806434061
0.8432377377377377,0.013190285179577248,0.8432377377377377,0.012046371309820432,0.8432377377377377,0.004937086205890736
0.8542487487487487,0.01354254876239939,0.8542487487487487,0.012375097392820885,0.8542487487487487,0.005094778599826121
0.8652597597597597,0.013895488493120318,0.8652597597597597,0.012704788577828993,0.8652597597597597,0.0052548606486584335
0.8762707707707706,0.014248718096820878,0.8762707707707706,0.013035078205202832,0.8762707707707706,0.005417278975531144
0.8872817817817817,0.014601832353714603,0.8872817817817817,0.013365581579431093,0.8872817817817817,0.005581976063515944
0.8982927927927927,0.014954406354308539,0.8982927927927927,0.013695895266299928,0.8982927927927927,0.005748890151080543
0.9093038038038037,0.015305994715860525,0.9093038038038037,0.014025596352295139,0.9093038038038037,0.005917955125591959
0.9203148148148147,0.015656130771562575,0.9203148148148147,0.014354241677133481,0.9203148148148147,0.006089100414583974
0.9313258258258257,0.016004325752352937,0.9313258258258257,0.014681367058283752,0.9313258258258257,0.006262250874476537
0.9423368368368368,0.016350067993305982,0.9423368368368368,0.015006486537678769,0.9423368368368368,0.0064373266763818
0.9533478478478478,0.01669282221340468,0.9533478478478478,0.015329091696692287,0.9533478478478478,0.006614243188578542
0.9643588588588587,0.017032028940545133,0.9643588588588587,0.015648651107168426,0.9643588588588587,0.006792910855168482
0.9753698698698698,0.017367104184436884,0.9753698698698698,0.015964610015329568,0.9753698698698698,0.006973235070359702
0.9863808808808808,0.01769743949997439,0.9863808808808808,0.01627639039301259,0.9863808808808808,0.00715511604773911
0.9973918918918918,0.018022402633328955,0.9973918918918918,0.016583391537514675,0.9973918918918918,0.007338448683808232
