#: table_doi: 10.17182/hepdata.91996.v2/t12
#: name: Table 12
#: description: Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 40-50% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.
#: data_file: data12.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,<pT> [GEV/C],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
29.0625,28.75,29.375,7.64e-01,1.88e-04,-1.88e-04,2.25e-02,-2.25e-02,1.48e-02,-1.48e-02
29.6875,29.375,30.0,7.66e-01,1.96e-04,-1.96e-04,2.27e-02,-2.27e-02,1.49e-02,-1.49e-02
30.3125,30.0,30.625,7.69e-01,2.04e-04,-2.04e-04,2.28e-02,-2.28e-02,1.50e-02,-1.50e-02
30.9375,30.625,31.25,7.72e-01,2.14e-04,-2.14e-04,2.30e-02,-2.30e-02,1.52e-02,-1.52e-02
31.5625,31.25,31.875,7.74e-01,2.24e-04,-2.24e-04,2.31e-02,-2.31e-02,1.53e-02,-1.53e-02
32.1875,31.875,32.5,7.77e-01,2.34e-04,-2.34e-04,2.33e-02,-2.33e-02,1.54e-02,-1.54e-02
32.8125,32.5,33.125,7.79e-01,2.46e-04,-2.46e-04,2.34e-02,-2.34e-02,1.55e-02,-1.55e-02
33.4375,33.125,33.75,7.82e-01,2.58e-04,-2.58e-04,2.35e-02,-2.35e-02,1.56e-02,-1.56e-02
34.0625,33.75,34.375,7.85e-01,2.71e-04,-2.71e-04,2.37e-02,-2.37e-02,1.57e-02,-1.57e-02
34.6875,34.375,35.0,7.87e-01,2.85e-04,-2.85e-04,2.38e-02,-2.38e-02,1.58e-02,-1.58e-02
35.3125,35.0,35.625,7.89e-01,3.00e-04,-3.00e-04,2.39e-02,-2.39e-02,1.59e-02,-1.59e-02
35.9375,35.625,36.25,7.92e-01,3.17e-04,-3.17e-04,2.41e-02,-2.41e-02,1.61e-02,-1.61e-02
36.5625,36.25,36.875,7.94e-01,3.33e-04,-3.33e-04,2.42e-02,-2.42e-02,1.62e-02,-1.62e-02
37.1875,36.875,37.5,7.97e-01,3.51e-04,-3.51e-04,2.43e-02,-2.43e-02,1.63e-02,-1.63e-02
37.8125,37.5,38.125,7.99e-01,3.73e-04,-3.73e-04,2.45e-02,-2.45e-02,1.64e-02,-1.64e-02
38.4375,38.125,38.75,8.02e-01,3.95e-04,-3.95e-04,2.47e-02,-2.47e-02,1.66e-02,-1.66e-02
39.0625,38.75,39.375,8.04e-01,4.17e-04,-4.17e-04,2.48e-02,-2.48e-02,1.67e-02,-1.67e-02
39.6875,39.375,40.0,8.07e-01,4.41e-04,-4.41e-04,2.50e-02,-2.50e-02,1.69e-02,-1.69e-02
40.3125,40.0,40.625,8.09e-01,4.66e-04,-4.66e-04,2.52e-02,-2.52e-02,1.70e-02,-1.70e-02
40.9375,40.625,41.25,8.12e-01,4.91e-04,-4.91e-04,2.53e-02,-2.53e-02,1.71e-02,-1.71e-02
41.5625,41.25,41.875,8.14e-01,5.21e-04,-5.21e-04,2.55e-02,-2.55e-02,1.73e-02,-1.73e-02
42.1875,41.875,42.5,8.16e-01,5.49e-04,-5.49e-04,2.56e-02,-2.56e-02,1.74e-02,-1.74e-02
42.8125,42.5,43.125,8.18e-01,5.80e-04,-5.80e-04,2.58e-02,-2.58e-02,1.75e-02,-1.75e-02
43.4375,43.125,43.75,8.20e-01,6.13e-04,-6.13e-04,2.59e-02,-2.59e-02,1.76e-02,-1.76e-02
44.0625,43.75,44.375,8.22e-01,6.49e-04,-6.49e-04,2.60e-02,-2.60e-02,1.77e-02,-1.77e-02
44.6875,44.375,45.0,8.24e-01,6.88e-04,-6.88e-04,2.61e-02,-2.61e-02,1.78e-02,-1.78e-02
45.3125,45.0,45.625,8.26e-01,7.29e-04,-7.29e-04,2.62e-02,-2.62e-02,1.78e-02,-1.78e-02
45.9375,45.625,46.25,8.28e-01,7.74e-04,-7.74e-04,2.63e-02,-2.63e-02,1.79e-02,-1.79e-02
46.5625,46.25,46.875,8.30e-01,8.23e-04,-8.23e-04,2.64e-02,-2.64e-02,1.80e-02,-1.80e-02
47.1875,46.875,47.5,8.32e-01,8.72e-04,-8.72e-04,2.65e-02,-2.65e-02,1.80e-02,-1.80e-02
47.8125,47.5,48.125,8.34e-01,9.29e-04,-9.29e-04,2.65e-02,-2.65e-02,1.81e-02,-1.81e-02
48.4375,48.125,48.75,8.36e-01,9.86e-04,-9.86e-04,2.66e-02,-2.66e-02,1.81e-02,-1.81e-02
49.0625,48.75,49.375,8.37e-01,1.05e-03,-1.05e-03,2.67e-02,-2.67e-02,1.82e-02,-1.82e-02
49.6875,49.375,50.0,8.39e-01,1.12e-03,-1.12e-03,2.68e-02,-2.68e-02,1.83e-02,-1.83e-02

