#: table_doi: 10.17182/hepdata.91996.v2/t14
#: name: Table 14
#: description: Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 60-70% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.
#: data_file: data14.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,<pT> [GEV/C],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
2.1875,1.875,2.5,4.96e-01,1.94e-04,-1.94e-04,2.89e-02,-2.89e-02,2.72e-02,-2.72e-02
2.8125,2.5,3.125,5.05e-01,1.21e-04,-1.21e-04,2.41e-02,-2.41e-02,2.21e-02,-2.21e-02
3.4375,3.125,3.75,5.16e-01,9.42e-05,-9.42e-05,2.18e-02,-2.18e-02,1.98e-02,-1.98e-02
4.0625,3.75,4.375,5.28e-01,8.41e-05,-8.41e-05,2.11e-02,-2.11e-02,1.91e-02,-1.91e-02
4.6875,4.375,5.0,5.40e-01,7.96e-05,-7.96e-05,1.97e-02,-1.97e-02,1.76e-02,-1.76e-02
5.3125,5.0,5.625,5.52e-01,7.75e-05,-7.75e-05,1.95e-02,-1.95e-02,1.72e-02,-1.72e-02
5.9375,5.625,6.25,5.64e-01,7.63e-05,-7.63e-05,1.88e-02,-1.88e-02,1.62e-02,-1.62e-02
6.5625,6.25,6.875,5.75e-01,7.57e-05,-7.57e-05,1.88e-02,-1.88e-02,1.59e-02,-1.59e-02
7.1875,6.875,7.5,5.85e-01,7.55e-05,-7.55e-05,1.95e-02,-1.95e-02,1.63e-02,-1.63e-02
7.8125,7.5,8.125,5.94e-01,7.54e-05,-7.54e-05,1.88e-02,-1.88e-02,1.53e-02,-1.53e-02
8.4375,8.125,8.75,6.02e-01,7.56e-05,-7.56e-05,1.95e-02,-1.95e-02,1.56e-02,-1.56e-02
9.0625,8.75,9.375,6.10e-01,7.31e-05,-7.31e-05,1.85e-02,-1.85e-02,1.42e-02,-1.42e-02
9.6875,9.375,10.0,6.18e-01,7.42e-05,-7.42e-05,1.84e-02,-1.84e-02,1.38e-02,-1.38e-02
10.3125,10.0,10.625,6.25e-01,7.52e-05,-7.52e-05,1.86e-02,-1.86e-02,1.39e-02,-1.39e-02
10.9375,10.625,11.25,6.32e-01,7.60e-05,-7.60e-05,1.87e-02,-1.87e-02,1.34e-02,-1.34e-02
11.5625,11.25,11.875,6.39e-01,7.72e-05,-7.72e-05,1.82e-02,-1.82e-02,1.29e-02,-1.29e-02
12.1875,11.875,12.5,6.45e-01,7.85e-05,-7.85e-05,1.87e-02,-1.87e-02,1.33e-02,-1.33e-02
12.8125,12.5,13.125,6.51e-01,7.98e-05,-7.98e-05,1.88e-02,-1.88e-02,1.31e-02,-1.31e-02
13.4375,13.125,13.75,6.56e-01,8.13e-05,-8.13e-05,1.80e-02,-1.80e-02,1.17e-02,-1.17e-02
14.0625,13.75,14.375,6.62e-01,8.29e-05,-8.29e-05,1.88e-02,-1.88e-02,1.28e-02,-1.28e-02
14.6875,14.375,15.0,6.67e-01,8.44e-05,-8.44e-05,1.85e-02,-1.85e-02,1.23e-02,-1.23e-02
15.3125,15.0,15.625,6.72e-01,8.59e-05,-8.59e-05,1.93e-02,-1.93e-02,1.31e-02,-1.31e-02
