#: table_doi: 10.17182/hepdata.91996.v2/t9
#: name: Table 9
#: description: Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 10-20% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.
#: data_file: data9.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,<pT> [GEV/C],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
25.3125,25.0,25.625,7.95e-01,2.34e-04,-2.34e-04,2.90e-02,-2.90e-02,2.31e-02,-2.31e-02
25.9375,25.625,26.25,7.98e-01,2.44e-04,-2.44e-04,2.92e-02,-2.92e-02,2.33e-02,-2.33e-02
26.5625,26.25,26.875,8.01e-01,2.53e-04,-2.53e-04,2.94e-02,-2.94e-02,2.35e-02,-2.35e-02
27.1875,26.875,27.5,8.03e-01,2.62e-04,-2.62e-04,2.96e-02,-2.96e-02,2.36e-02,-2.36e-02
27.8125,27.5,28.125,8.06e-01,2.73e-04,-2.73e-04,2.98e-02,-2.98e-02,2.38e-02,-2.38e-02
28.4375,28.125,28.75,8.09e-01,2.83e-04,-2.83e-04,2.99e-02,-2.99e-02,2.39e-02,-2.39e-02
29.0625,28.75,29.375,8.12e-01,2.95e-04,-2.95e-04,3.01e-02,-3.01e-02,2.41e-02,-2.41e-02
29.6875,29.375,30.0,8.15e-01,3.08e-04,-3.08e-04,3.03e-02,-3.03e-02,2.42e-02,-2.42e-02
30.3125,30.0,30.625,8.17e-01,3.20e-04,-3.20e-04,3.04e-02,-3.04e-02,2.43e-02,-2.43e-02
30.9375,30.625,31.25,8.20e-01,3.36e-04,-3.36e-04,3.06e-02,-3.06e-02,2.45e-02,-2.45e-02
31.5625,31.25,31.875,8.23e-01,3.51e-04,-3.51e-04,3.07e-02,-3.07e-02,2.46e-02,-2.46e-02
32.1875,31.875,32.5,8.25e-01,3.67e-04,-3.67e-04,3.09e-02,-3.09e-02,2.47e-02,-2.47e-02
32.8125,32.5,33.125,8.28e-01,3.85e-04,-3.85e-04,3.10e-02,-3.10e-02,2.48e-02,-2.48e-02
33.4375,33.125,33.75,8.30e-01,4.04e-04,-4.04e-04,3.12e-02,-3.12e-02,2.49e-02,-2.49e-02
34.0625,33.75,34.375,8.33e-01,4.23e-04,-4.23e-04,3.13e-02,-3.13e-02,2.51e-02,-2.51e-02
34.6875,34.375,35.0,8.36e-01,4.43e-04,-4.43e-04,3.15e-02,-3.15e-02,2.52e-02,-2.52e-02
35.3125,35.0,35.625,8.38e-01,4.65e-04,-4.65e-04,3.16e-02,-3.16e-02,2.53e-02,-2.53e-02
35.9375,35.625,36.25,8.41e-01,4.90e-04,-4.90e-04,3.18e-02,-3.18e-02,2.54e-02,-2.54e-02
36.5625,36.25,36.875,8.43e-01,5.13e-04,-5.13e-04,3.19e-02,-3.19e-02,2.56e-02,-2.56e-02
37.1875,36.875,37.5,8.45e-01,5.40e-04,-5.40e-04,3.21e-02,-3.21e-02,2.57e-02,-2.57e-02
37.8125,37.5,38.125,8.48e-01,5.71e-04,-5.71e-04,3.22e-02,-3.22e-02,2.58e-02,-2.58e-02
38.4375,38.125,38.75,8.50e-01,6.05e-04,-6.05e-04,3.24e-02,-3.24e-02,2.60e-02,-2.60e-02
39.0625,38.75,39.375,8.53e-01,6.38e-04,-6.38e-04,3.25e-02,-3.25e-02,2.61e-02,-2.61e-02
39.6875,39.375,40.0,8.55e-01,6.76e-04,-6.76e-04,3.27e-02,-3.27e-02,2.62e-02,-2.62e-02
40.3125,40.0,40.625,8.57e-01,7.17e-04,-7.17e-04,3.28e-02,-3.28e-02,2.63e-02,-2.63e-02
40.9375,40.625,41.25,8.60e-01,7.58e-04,-7.58e-04,3.30e-02,-3.30e-02,2.64e-02,-2.64e-02
41.5625,41.25,41.875,8.62e-01,8.07e-04,-8.07e-04,3.31e-02,-3.31e-02,2.65e-02,-2.65e-02
42.1875,41.875,42.5,8.64e-01,8.53e-04,-8.53e-04,3.32e-02,-3.32e-02,2.66e-02,-2.66e-02
42.8125,42.5,43.125,8.66e-01,9.03e-04,-9.03e-04,3.33e-02,-3.33e-02,2.67e-02,-2.67e-02
43.4375,43.125,43.75,8.68e-01,9.55e-04,-9.55e-04,3.34e-02,-3.34e-02,2.67e-02,-2.67e-02
44.0625,43.75,44.375,8.71e-01,1.01e-03,-1.01e-03,3.36e-02,-3.36e-02,2.68e-02,-2.68e-02
44.6875,44.375,45.0,8.73e-01,1.07e-03,-1.07e-03,3.37e-02,-3.37e-02,2.69e-02,-2.69e-02
45.3125,45.0,45.625,8.75e-01,1.13e-03,-1.13e-03,3.38e-02,-3.38e-02,2.70e-02,-2.70e-02
45.9375,45.625,46.25,8.77e-01,1.20e-03,-1.20e-03,3.39e-02,-3.39e-02,2.71e-02,-2.71e-02
46.5625,46.25,46.875,8.79e-01,1.27e-03,-1.27e-03,3.41e-02,-3.41e-02,2.72e-02,-2.72e-02
47.1875,46.875,47.5,8.82e-01,1.35e-03,-1.35e-03,3.42e-02,-3.42e-02,2.74e-02,-2.74e-02
47.8125,47.5,48.125,8.85e-01,1.44e-03,-1.44e-03,3.44e-02,-3.44e-02,2.75e-02,-2.75e-02
48.4375,48.125,48.75,8.87e-01,1.54e-03,-1.54e-03,3.46e-02,-3.46e-02,2.77e-02,-2.77e-02
49.0625,48.75,49.375,8.90e-01,1.64e-03,-1.64e-03,3.48e-02,-3.48e-02,2.79e-02,-2.79e-02
49.6875,49.375,50.0,8.92e-01,1.75e-03,-1.75e-03,3.50e-02,-3.50e-02,2.81e-02,-2.81e-02

