#: table_doi: 10.17182/hepdata.91996.v2/t9
#: name: Table 9
#: description: Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 10-20% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.
#: data_file: data9.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,<pT> [GEV/C],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
2.1875,1.875,2.5,5.58e-01,3.60e-04,-3.60e-04,2.17e-02,-2.17e-02,1.86e-02,-1.86e-02
2.8125,2.5,3.125,5.69e-01,2.34e-04,-2.34e-04,1.65e-02,-1.65e-02,1.26e-02,-1.26e-02
3.4375,3.125,3.75,5.82e-01,1.89e-04,-1.89e-04,1.81e-02,-1.81e-02,1.50e-02,-1.50e-02
4.0625,3.75,4.375,5.97e-01,1.72e-04,-1.72e-04,1.81e-02,-1.81e-02,1.50e-02,-1.50e-02
4.6875,4.375,5.0,6.12e-01,1.65e-04,-1.65e-04,1.82e-02,-1.82e-02,1.52e-02,-1.52e-02
5.3125,5.0,5.625,6.25e-01,1.60e-04,-1.60e-04,1.76e-02,-1.76e-02,1.42e-02,-1.42e-02
5.9375,5.625,6.25,6.38e-01,1.55e-04,-1.55e-04,1.87e-02,-1.87e-02,1.52e-02,-1.52e-02
6.5625,6.25,6.875,6.49e-01,1.53e-04,-1.53e-04,1.97e-02,-1.97e-02,1.60e-02,-1.60e-02
7.1875,6.875,7.5,6.59e-01,1.50e-04,-1.50e-04,2.11e-02,-2.11e-02,1.72e-02,-1.72e-02
7.8125,7.5,8.125,6.68e-01,1.48e-04,-1.48e-04,2.16e-02,-2.16e-02,1.76e-02,-1.76e-02
8.4375,8.125,8.75,6.76e-01,1.47e-04,-1.47e-04,2.33e-02,-2.33e-02,1.92e-02,-1.92e-02
9.0625,8.75,9.375,6.83e-01,1.41e-04,-1.41e-04,2.36e-02,-2.36e-02,1.96e-02,-1.96e-02
9.6875,9.375,10.0,6.90e-01,1.42e-04,-1.42e-04,2.38e-02,-2.38e-02,1.95e-02,-1.95e-02
10.3125,10.0,10.625,6.97e-01,1.42e-04,-1.42e-04,2.47e-02,-2.47e-02,2.06e-02,-2.06e-02
10.9375,10.625,11.25,7.03e-01,1.42e-04,-1.42e-04,2.50e-02,-2.50e-02,2.04e-02,-2.04e-02
11.5625,11.25,11.875,7.09e-01,1.44e-04,-1.44e-04,2.52e-02,-2.52e-02,2.08e-02,-2.08e-02
12.1875,11.875,12.5,7.14e-01,1.45e-04,-1.45e-04,2.54e-02,-2.54e-02,2.09e-02,-2.09e-02
12.8125,12.5,13.125,7.19e-01,1.47e-04,-1.47e-04,2.61e-02,-2.61e-02,2.14e-02,-2.14e-02
13.4375,13.125,13.75,7.24e-01,1.48e-04,-1.48e-04,2.64e-02,-2.64e-02,2.17e-02,-2.17e-02
14.0625,13.75,14.375,7.29e-01,1.50e-04,-1.50e-04,2.74e-02,-2.74e-02,2.29e-02,-2.29e-02
14.6875,14.375,15.0,7.34e-01,1.52e-04,-1.52e-04,2.59e-02,-2.59e-02,2.10e-02,-2.10e-02
15.3125,15.0,15.625,7.38e-01,1.54e-04,-1.54e-04,2.66e-02,-2.66e-02,2.16e-02,-2.16e-02
15.9375,15.625,16.25,7.43e-01,1.57e-04,-1.57e-04,2.68e-02,-2.68e-02,2.16e-02,-2.16e-02
16.5625,16.25,16.875,7.47e-01,1.60e-04,-1.60e-04,2.66e-02,-2.66e-02,2.14e-02,-2.14e-02
17.1875,16.875,17.5,7.51e-01,1.63e-04,-1.63e-04,2.75e-02,-2.75e-02,2.24e-02,-2.24e-02
17.8125,17.5,18.125,7.55e-01,1.67e-04,-1.67e-04,2.75e-02,-2.75e-02,2.23e-02,-2.23e-02
18.4375,18.125,18.75,7.59e-01,1.71e-04,-1.71e-04,2.78e-02,-2.78e-02,2.26e-02,-2.26e-02
19.0625,18.75,19.375,7.62e-01,1.75e-04,-1.75e-04,2.72e-02,-2.72e-02,2.16e-02,-2.16e-02
19.6875,19.375,20.0,7.66e-01,1.79e-04,-1.79e-04,2.78e-02,-2.78e-02,2.25e-02,-2.25e-02
20.3125,20.0,20.625,7.69e-01,1.84e-04,-1.84e-04,2.87e-02,-2.87e-02,2.34e-02,-2.34e-02
20.9375,20.625,21.25,7.73e-01,1.88e-04,-1.88e-04,2.80e-02,-2.80e-02,2.26e-02,-2.26e-02
21.5625,21.25,21.875,7.76e-01,1.94e-04,-1.94e-04,2.73e-02,-2.73e-02,2.15e-02,-2.15e-02
22.1875,21.875,22.5,7.79e-01,2.00e-04,-2.00e-04,2.81e-02,-2.81e-02,2.22e-02,-2.22e-02
22.8125,22.5,23.125,7.82e-01,2.05e-04,-2.05e-04,2.83e-02,-2.83e-02,2.25e-02,-2.25e-02
23.4375,23.125,23.75,7.86e-01,2.12e-04,-2.12e-04,2.85e-02,-2.85e-02,2.30e-02,-2.30e-02
24.0625,23.75,24.375,7.89e-01,2.19e-04,-2.19e-04,2.87e-02,-2.87e-02,2.26e-02,-2.26e-02
24.6875,24.375,25.0,7.92e-01,2.26e-04,-2.26e-04,2.88e-02,-2.88e-02,2.28e-02,-2.28e-02
