#: table_doi: 10.17182/hepdata.91996.v2/t8
#: name: Table 8
#: description: Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 0-10% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.
#: data_file: data8.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,<pT> [GEV/C],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
2.1875,1.875,2.5,5.94e-01,5.22e-04,-5.22e-04,2.66e-02,-2.66e-02,2.39e-02,-2.39e-02
2.8125,2.5,3.125,6.06e-01,3.60e-04,-3.60e-04,2.91e-02,-2.91e-02,2.68e-02,-2.68e-02
3.4375,3.125,3.75,6.21e-01,3.13e-04,-3.13e-04,4.33e-02,-4.33e-02,4.19e-02,-4.19e-02
4.0625,3.75,4.375,6.39e-01,2.97e-04,-2.97e-04,5.07e-02,-5.07e-02,4.95e-02,-4.95e-02
4.6875,4.375,5.0,6.57e-01,2.89e-04,-2.89e-04,5.15e-02,-5.15e-02,5.04e-02,-5.04e-02
5.3125,5.0,5.625,6.74e-01,2.84e-04,-2.84e-04,4.96e-02,-4.96e-02,4.84e-02,-4.84e-02
5.9375,5.625,6.25,6.89e-01,2.80e-04,-2.80e-04,4.45e-02,-4.45e-02,4.29e-02,-4.29e-02
6.5625,6.25,6.875,7.02e-01,2.77e-04,-2.77e-04,4.28e-02,-4.28e-02,4.09e-02,-4.09e-02
7.1875,6.875,7.5,7.13e-01,2.74e-04,-2.74e-04,3.90e-02,-3.90e-02,3.67e-02,-3.67e-02
7.8125,7.5,8.125,7.23e-01,2.72e-04,-2.72e-04,3.81e-02,-3.81e-02,3.56e-02,-3.56e-02
8.4375,8.125,8.75,7.32e-01,2.70e-04,-2.70e-04,3.53e-02,-3.53e-02,3.23e-02,-3.23e-02
9.0625,8.75,9.375,7.39e-01,2.59e-04,-2.59e-04,3.48e-02,-3.48e-02,3.17e-02,-3.17e-02
9.6875,9.375,10.0,7.46e-01,2.59e-04,-2.59e-04,3.17e-02,-3.17e-02,2.81e-02,-2.81e-02
10.3125,10.0,10.625,7.53e-01,2.60e-04,-2.60e-04,3.18e-02,-3.18e-02,2.81e-02,-2.81e-02
10.9375,10.625,11.25,7.59e-01,2.60e-04,-2.60e-04,3.03e-02,-3.03e-02,2.59e-02,-2.59e-02
11.5625,11.25,11.875,7.65e-01,2.62e-04,-2.62e-04,3.05e-02,-3.05e-02,2.63e-02,-2.63e-02
12.1875,11.875,12.5,7.70e-01,2.65e-04,-2.65e-04,3.01e-02,-3.01e-02,2.57e-02,-2.57e-02
12.8125,12.5,13.125,7.75e-01,2.67e-04,-2.67e-04,2.81e-02,-2.81e-02,2.31e-02,-2.31e-02
13.4375,13.125,13.75,7.80e-01,2.69e-04,-2.69e-04,2.87e-02,-2.87e-02,2.37e-02,-2.37e-02
14.0625,13.75,14.375,7.85e-01,2.73e-04,-2.73e-04,2.84e-02,-2.84e-02,2.33e-02,-2.33e-02
14.6875,14.375,15.0,7.89e-01,2.76e-04,-2.76e-04,2.87e-02,-2.87e-02,2.36e-02,-2.36e-02
15.3125,15.0,15.625,7.94e-01,2.79e-04,-2.79e-04,2.70e-02,-2.70e-02,2.12e-02,-2.12e-02
15.9375,15.625,16.25,7.98e-01,2.83e-04,-2.83e-04,2.59e-02,-2.59e-02,1.96e-02,-1.96e-02
