#: table_doi: 10.17182/hepdata.91996.v2/t8
#: name: Table 8
#: description: Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 0-10% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.
#: data_file: data8.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,<pT> [GEV/C],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
16.5625,16.25,16.875,8.02e-01,2.87e-04,-2.87e-04,2.82e-02,-2.82e-02,2.24e-02,-2.24e-02
17.1875,16.875,17.5,8.06e-01,2.93e-04,-2.93e-04,2.65e-02,-2.65e-02,2.02e-02,-2.02e-02
17.8125,17.5,18.125,8.09e-01,2.98e-04,-2.98e-04,2.68e-02,-2.68e-02,2.05e-02,-2.05e-02
18.4375,18.125,18.75,8.13e-01,3.05e-04,-3.05e-04,2.59e-02,-2.59e-02,1.91e-02,-1.91e-02
19.0625,18.75,19.375,8.16e-01,3.11e-04,-3.11e-04,2.65e-02,-2.65e-02,1.97e-02,-1.97e-02
19.6875,19.375,20.0,8.19e-01,3.18e-04,-3.18e-04,2.60e-02,-2.60e-02,1.93e-02,-1.93e-02
20.3125,20.0,20.625,8.23e-01,3.26e-04,-3.26e-04,2.66e-02,-2.66e-02,1.98e-02,-1.98e-02
20.9375,20.625,21.25,8.26e-01,3.34e-04,-3.34e-04,2.68e-02,-2.68e-02,2.02e-02,-2.02e-02
21.5625,21.25,21.875,8.29e-01,3.44e-04,-3.44e-04,2.66e-02,-2.66e-02,1.96e-02,-1.96e-02
22.1875,21.875,22.5,8.33e-01,3.54e-04,-3.54e-04,2.63e-02,-2.63e-02,1.87e-02,-1.87e-02
22.8125,22.5,23.125,8.36e-01,3.64e-04,-3.64e-04,2.65e-02,-2.65e-02,1.91e-02,-1.91e-02
23.4375,23.125,23.75,8.39e-01,3.76e-04,-3.76e-04,2.67e-02,-2.67e-02,1.97e-02,-1.97e-02
24.0625,23.75,24.375,8.42e-01,3.88e-04,-3.88e-04,2.68e-02,-2.68e-02,1.91e-02,-1.91e-02
24.6875,24.375,25.0,8.45e-01,4.01e-04,-4.01e-04,2.70e-02,-2.70e-02,1.94e-02,-1.94e-02
25.3125,25.0,25.625,8.48e-01,4.16e-04,-4.16e-04,2.72e-02,-2.72e-02,1.98e-02,-1.98e-02
25.9375,25.625,26.25,8.51e-01,4.32e-04,-4.32e-04,2.74e-02,-2.74e-02,1.99e-02,-1.99e-02
26.5625,26.25,26.875,8.54e-01,4.48e-04,-4.48e-04,2.76e-02,-2.76e-02,2.01e-02,-2.01e-02
27.1875,26.875,27.5,8.56e-01,4.63e-04,-4.63e-04,2.77e-02,-2.77e-02,2.02e-02,-2.02e-02
27.8125,27.5,28.125,8.59e-01,4.82e-04,-4.82e-04,2.79e-02,-2.79e-02,2.03e-02,-2.03e-02
28.4375,28.125,28.75,8.62e-01,5.00e-04,-5.00e-04,2.80e-02,-2.80e-02,2.05e-02,-2.05e-02
29.0625,28.75,29.375,8.65e-01,5.23e-04,-5.23e-04,2.82e-02,-2.82e-02,2.07e-02,-2.07e-02
29.6875,29.375,30.0,8.68e-01,5.45e-04,-5.45e-04,2.84e-02,-2.84e-02,2.08e-02,-2.08e-02
30.3125,30.0,30.625,8.71e-01,5.69e-04,-5.69e-04,2.86e-02,-2.86e-02,2.10e-02,-2.10e-02
30.9375,30.625,31.25,8.74e-01,5.97e-04,-5.97e-04,2.88e-02,-2.88e-02,2.11e-02,-2.11e-02
31.5625,31.25,31.875,8.77e-01,6.24e-04,-6.24e-04,2.90e-02,-2.90e-02,2.13e-02,-2.13e-02
32.1875,31.875,32.5,8.80e-01,6.52e-04,-6.52e-04,2.91e-02,-2.91e-02,2.14e-02,-2.14e-02
32.8125,32.5,33.125,8.83e-01,6.85e-04,-6.85e-04,2.93e-02,-2.93e-02,2.16e-02,-2.16e-02
33.4375,33.125,33.75,8.86e-01,7.18e-04,-7.18e-04,2.95e-02,-2.95e-02,2.17e-02,-2.17e-02
34.0625,33.75,34.375,8.89e-01,7.54e-04,-7.54e-04,2.96e-02,-2.96e-02,2.18e-02,-2.18e-02
34.6875,34.375,35.0,8.91e-01,7.92e-04,-7.92e-04,2.98e-02,-2.98e-02,2.20e-02,-2.20e-02
35.3125,35.0,35.625,8.94e-01,8.32e-04,-8.32e-04,3.00e-02,-3.00e-02,2.21e-02,-2.21e-02
35.9375,35.625,36.25,8.97e-01,8.77e-04,-8.77e-04,3.01e-02,-3.01e-02,2.23e-02,-2.23e-02
36.5625,36.25,36.875,9.00e-01,9.19e-04,-9.19e-04,3.03e-02,-3.03e-02,2.24e-02,-2.24e-02
37.1875,36.875,37.5,9.02e-01,9.66e-04,-9.66e-04,3.05e-02,-3.05e-02,2.26e-02,-2.26e-02
37.8125,37.5,38.125,9.05e-01,1.02e-03,-1.02e-03,3.07e-02,-3.07e-02,2.28e-02,-2.28e-02
38.4375,38.125,38.75,9.08e-01,1.08e-03,-1.08e-03,3.09e-02,-3.09e-02,2.30e-02,-2.30e-02
39.0625,38.75,39.375,9.11e-01,1.14e-03,-1.14e-03,3.11e-02,-3.11e-02,2.32e-02,-2.32e-02
39.6875,39.375,40.0,9.14e-01,1.20e-03,-1.20e-03,3.14e-02,-3.14e-02,2.34e-02,-2.34e-02
40.3125,40.0,40.625,9.17e-01,1.27e-03,-1.27e-03,3.15e-02,-3.15e-02,2.35e-02,-2.35e-02
40.9375,40.625,41.25,9.20e-01,1.34e-03,-1.34e-03,3.16e-02,-3.16e-02,2.36e-02,-2.36e-02
41.5625,41.25,41.875,9.23e-01,1.43e-03,-1.43e-03,3.18e-02,-3.18e-02,2.36e-02,-2.36e-02
42.1875,41.875,42.5,9.26e-01,1.51e-03,-1.51e-03,3.18e-02,-3.18e-02,2.36e-02,-2.36e-02
42.8125,42.5,43.125,9.29e-01,1.60e-03,-1.60e-03,3.19e-02,-3.19e-02,2.36e-02,-2.36e-02
43.4375,43.125,43.75,9.32e-01,1.70e-03,-1.70e-03,3.19e-02,-3.19e-02,2.35e-02,-2.35e-02
44.0625,43.75,44.375,9.34e-01,1.79e-03,-1.79e-03,3.19e-02,-3.19e-02,2.34e-02,-2.34e-02
44.6875,44.375,45.0,9.36e-01,1.90e-03,-1.90e-03,3.19e-02,-3.19e-02,2.34e-02,-2.34e-02
45.3125,45.0,45.625,9.38e-01,2.01e-03,-2.01e-03,3.19e-02,-3.19e-02,2.34e-02,-2.34e-02
45.9375,45.625,46.25,9.40e-01,2.14e-03,-2.14e-03,3.20e-02,-3.20e-02,2.34e-02,-2.34e-02
46.5625,46.25,46.875,9.43e-01,2.27e-03,-2.27e-03,3.21e-02,-3.21e-02,2.35e-02,-2.35e-02
47.1875,46.875,47.5,9.45e-01,2.42e-03,-2.42e-03,3.24e-02,-3.24e-02,2.38e-02,-2.38e-02
47.8125,47.5,48.125,9.49e-01,2.58e-03,-2.58e-03,3.27e-02,-3.27e-02,2.41e-02,-2.41e-02
48.4375,48.125,48.75,9.52e-01,2.76e-03,-2.76e-03,3.30e-02,-3.30e-02,2.45e-02,-2.45e-02
49.0625,48.75,49.375,9.56e-01,2.96e-03,-2.96e-03,3.35e-02,-3.35e-02,2.50e-02,-2.50e-02
49.6875,49.375,50.0,9.61e-01,3.18e-03,-3.18e-03,3.41e-02,-3.41e-02,2.56e-02,-2.56e-02

