#: table_doi: 10.17182/hepdata.91996.v2/t2
#: name: Table 2
#: description: Transverse momentum spectra as a function of the event multiplicity for pp collisions at 5.02 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.
#: data_file: data2.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (X')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
7.5,7.0,8.0,3.561e-05,6.853e-07,-6.853e-07,3.269e-06,-3.269e-06,2.849e-06,-2.849e-06
9.0,8.0,10.0,1.240e-05,2.835e-07,-2.835e-07,1.179e-06,-1.179e-06,1.053e-06,-1.053e-06
11.5,10.0,13.0,3.033e-06,1.132e-07,-1.132e-07,2.870e-07,-2.870e-07,2.505e-07,-2.505e-07
16.5,13.0,20.0,4.599e-07,2.881e-08,-2.881e-08,4.491e-08,-4.491e-08,3.863e-08,-3.863e-08

#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (IX')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.175,0.15,0.2,1.074e+01,3.657e-03,-3.657e-03,4.973e-01,-4.973e-01,3.664e-01,-3.664e-01
0.225,0.2,0.25,1.094e+01,2.653e-03,-2.653e-03,4.766e-01,-4.766e-01,3.733e-01,-3.733e-01
0.275,0.25,0.3,1.032e+01,2.511e-03,-2.511e-03,4.501e-01,-4.501e-01,3.517e-01,-3.517e-01
0.32499999999999996,0.3,0.35,9.458e+00,2.370e-03,-2.370e-03,4.350e-01,-4.350e-01,3.227e-01,-3.227e-01
0.375,0.35,0.4,8.465e+00,2.214e-03,-2.214e-03,3.970e-01,-3.970e-01,2.891e-01,-2.891e-01
0.42500000000000004,0.4,0.45,7.468e+00,2.067e-03,-2.067e-03,3.617e-01,-3.617e-01,2.557e-01,-2.557e-01
0.475,0.45,0.5,6.538e+00,1.967e-03,-1.967e-03,3.227e-01,-3.227e-01,2.244e-01,-2.244e-01
0.525,0.5,0.55,5.713e+00,1.894e-03,-1.894e-03,2.880e-01,-2.880e-01,1.966e-01,-1.966e-01
0.575,0.55,0.6,4.995e+00,1.808e-03,-1.808e-03,2.574e-01,-2.574e-01,1.726e-01,-1.726e-01
0.625,0.6,0.65,4.362e+00,1.728e-03,-1.728e-03,2.249e-01,-2.249e-01,1.511e-01,-1.511e-01
0.675,0.65,0.7,3.820e+00,1.659e-03,-1.659e-03,1.901e-01,-1.901e-01,1.328e-01,-1.328e-01
0.725,0.7,0.75,3.349e+00,1.580e-03,-1.580e-03,1.603e-01,-1.603e-01,1.172e-01,-1.172e-01
