#: table_doi: 10.17182/hepdata.91996.v2/t16
#: name: Table 16
#: description: Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 80-90% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.
#: data_file: data16.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,<pT> [GEV/C],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
2.1875,1.875,2.5,4.83e-01,1.89e-04,-1.89e-04,2.80e-02,-2.80e-02,2.64e-02,-2.64e-02
2.8125,2.5,3.125,4.92e-01,1.17e-04,-1.17e-04,2.34e-02,-2.34e-02,2.15e-02,-2.15e-02
3.4375,3.125,3.75,5.03e-01,9.20e-05,-9.20e-05,2.23e-02,-2.23e-02,2.05e-02,-2.05e-02
4.0625,3.75,4.375,5.15e-01,8.37e-05,-8.37e-05,2.20e-02,-2.20e-02,2.02e-02,-2.02e-02
4.6875,4.375,5.0,5.28e-01,8.02e-05,-8.02e-05,2.02e-02,-2.02e-02,1.82e-02,-1.82e-02
5.3125,5.0,5.625,5.40e-01,7.90e-05,-7.90e-05,2.03e-02,-2.03e-02,1.83e-02,-1.83e-02
5.9375,5.625,6.25,5.51e-01,7.84e-05,-7.84e-05,2.01e-02,-2.01e-02,1.77e-02,-1.77e-02
6.5625,6.25,6.875,5.62e-01,7.83e-05,-7.83e-05,1.93e-02,-1.93e-02,1.65e-02,-1.65e-02
7.1875,6.875,7.5,5.73e-01,7.85e-05,-7.85e-05,1.97e-02,-1.97e-02,1.67e-02,-1.67e-02
7.8125,7.5,8.125,5.82e-01,7.90e-05,-7.90e-05,1.85e-02,-1.85e-02,1.50e-02,-1.50e-02
8.4375,8.125,8.75,5.91e-01,7.95e-05,-7.95e-05,1.98e-02,-1.98e-02,1.61e-02,-1.61e-02
9.0625,8.75,9.375,5.99e-01,7.71e-05,-7.71e-05,1.90e-02,-1.90e-02,1.50e-02,-1.50e-02
9.6875,9.375,10.0,6.07e-01,7.85e-05,-7.85e-05,1.92e-02,-1.92e-02,1.50e-02,-1.50e-02
10.3125,10.0,10.625,6.14e-01,7.98e-05,-7.98e-05,1.86e-02,-1.86e-02,1.42e-02,-1.42e-02
10.9375,10.625,11.25,6.21e-01,8.08e-05,-8.08e-05,1.99e-02,-1.99e-02,1.53e-02,-1.53e-02
11.5625,11.25,11.875,6.28e-01,8.23e-05,-8.23e-05,1.85e-02,-1.85e-02,1.35e-02,-1.35e-02
12.1875,11.875,12.5,6.34e-01,8.38e-05,-8.38e-05,1.83e-02,-1.83e-02,1.30e-02,-1.30e-02
12.8125,12.5,13.125,6.40e-01,8.53e-05,-8.53e-05,1.87e-02,-1.87e-02,1.32e-02,-1.32e-02
13.4375,13.125,13.75,6.46e-01,8.71e-05,-8.71e-05,1.89e-02,-1.89e-02,1.33e-02,-1.33e-02
14.0625,13.75,14.375,6.52e-01,8.91e-05,-8.91e-05,1.81e-02,-1.81e-02,1.20e-02,-1.20e-02
14.6875,14.375,15.0,6.57e-01,9.10e-05,-9.10e-05,1.86e-02,-1.86e-02,1.28e-02,-1.28e-02
15.3125,15.0,15.625,6.62e-01,9.28e-05,-9.28e-05,1.90e-02,-1.90e-02,1.29e-02,-1.29e-02
15.9375,15.625,16.25,6.67e-01,9.53e-05,-9.53e-05,1.87e-02,-1.87e-02,1.22e-02,-1.22e-02
16.5625,16.25,16.875,6.72e-01,9.74e-05,-9.74e-05,1.89e-02,-1.89e-02,1.24e-02,-1.24e-02
17.1875,16.875,17.5,6.77e-01,9.98e-05,-9.98e-05,1.89e-02,-1.89e-02,1.23e-02,-1.23e-02
17.8125,17.5,18.125,6.81e-01,1.02e-04,-1.02e-04,2.06e-02,-2.06e-02,1.45e-02,-1.45e-02
18.4375,18.125,18.75,6.86e-01,1.05e-04,-1.05e-04,1.94e-02,-1.94e-02,1.26e-02,-1.26e-02
19.0625,18.75,19.375,6.90e-01,1.08e-04,-1.08e-04,1.91e-02,-1.91e-02,1.20e-02,-1.20e-02
19.6875,19.375,20.0,6.94e-01,1.11e-04,-1.11e-04,1.96e-02,-1.96e-02,1.29e-02,-1.29e-02
20.3125,20.0,20.625,6.98e-01,1.15e-04,-1.15e-04,1.96e-02,-1.96e-02,1.26e-02,-1.26e-02
20.9375,20.625,21.25,7.02e-01,1.19e-04,-1.19e-04,1.95e-02,-1.95e-02,1.24e-02,-1.24e-02
21.5625,21.25,21.875,7.05e-01,1.22e-04,-1.22e-04,1.95e-02,-1.95e-02,1.22e-02,-1.22e-02
22.1875,21.875,22.5,7.09e-01,1.27e-04,-1.27e-04,1.99e-02,-1.99e-02,1.22e-02,-1.22e-02
22.8125,22.5,23.125,7.13e-01,1.31e-04,-1.31e-04,2.00e-02,-2.00e-02,1.25e-02,-1.25e-02
23.4375,23.125,23.75,7.16e-01,1.35e-04,-1.35e-04,2.02e-02,-2.02e-02,1.32e-02,-1.32e-02
24.0625,23.75,24.375,7.19e-01,1.40e-04,-1.40e-04,2.04e-02,-2.04e-02,1.25e-02,-1.25e-02
24.6875,24.375,25.0,7.23e-01,1.46e-04,-1.46e-04,2.05e-02,-2.05e-02,1.28e-02,-1.28e-02
25.3125,25.0,25.625,7.26e-01,1.51e-04,-1.51e-04,2.07e-02,-2.07e-02,1.31e-02,-1.31e-02
25.9375,25.625,26.25,7.29e-01,1.58e-04,-1.58e-04,2.09e-02,-2.09e-02,1.32e-02,-1.32e-02
26.5625,26.25,26.875,7.32e-01,1.64e-04,-1.64e-04,2.10e-02,-2.10e-02,1.34e-02,-1.34e-02
27.1875,26.875,27.5,7.35e-01,1.70e-04,-1.70e-04,2.11e-02,-2.11e-02,1.35e-02,-1.35e-02
27.8125,27.5,28.125,7.38e-01,1.77e-04,-1.77e-04,2.13e-02,-2.13e-02,1.36e-02,-1.36e-02
28.4375,28.125,28.75,7.41e-01,1.84e-04,-1.84e-04,2.14e-02,-2.14e-02,1.37e-02,-1.37e-02
29.0625,28.75,29.375,7.44e-01,1.93e-04,-1.93e-04,2.16e-02,-2.16e-02,1.38e-02,-1.38e-02
29.6875,29.375,30.0,7.47e-01,2.02e-04,-2.02e-04,2.17e-02,-2.17e-02,1.39e-02,-1.39e-02
30.3125,30.0,30.625,7.49e-01,2.11e-04,-2.11e-04,2.19e-02,-2.19e-02,1.40e-02,-1.40e-02
30.9375,30.625,31.25,7.52e-01,2.22e-04,-2.22e-04,2.20e-02,-2.20e-02,1.42e-02,-1.42e-02
31.5625,31.25,31.875,7.55e-01,2.32e-04,-2.32e-04,2.22e-02,-2.22e-02,1.43e-02,-1.43e-02
32.1875,31.875,32.5,7.57e-01,2.43e-04,-2.43e-04,2.23e-02,-2.23e-02,1.44e-02,-1.44e-02
32.8125,32.5,33.125,7.60e-01,2.55e-04,-2.55e-04,2.24e-02,-2.24e-02,1.45e-02,-1.45e-02
33.4375,33.125,33.75,7.63e-01,2.68e-04,-2.68e-04,2.26e-02,-2.26e-02,1.46e-02,-1.46e-02
34.0625,33.75,34.375,7.66e-01,2.81e-04,-2.81e-04,2.27e-02,-2.27e-02,1.48e-02,-1.48e-02
34.6875,34.375,35.0,7.68e-01,2.95e-04,-2.95e-04,2.29e-02,-2.29e-02,1.49e-02,-1.49e-02
35.3125,35.0,35.625,7.71e-01,3.10e-04,-3.10e-04,2.30e-02,-2.30e-02,1.50e-02,-1.50e-02
35.9375,35.625,36.25,7.73e-01,3.28e-04,-3.28e-04,2.31e-02,-2.31e-02,1.51e-02,-1.51e-02
36.5625,36.25,36.875,7.76e-01,3.44e-04,-3.44e-04,2.33e-02,-2.33e-02,1.53e-02,-1.53e-02
37.1875,36.875,37.5,7.78e-01,3.62e-04,-3.62e-04,2.34e-02,-2.34e-02,1.54e-02,-1.54e-02
37.8125,37.5,38.125,7.81e-01,3.83e-04,-3.83e-04,2.36e-02,-2.36e-02,1.55e-02,-1.55e-02
38.4375,38.125,38.75,7.83e-01,4.04e-04,-4.04e-04,2.37e-02,-2.37e-02,1.56e-02,-1.56e-02
39.0625,38.75,39.375,7.85e-01,4.26e-04,-4.26e-04,2.38e-02,-2.38e-02,1.57e-02,-1.57e-02
39.6875,39.375,40.0,7.88e-01,4.50e-04,-4.50e-04,2.40e-02,-2.40e-02,1.58e-02,-1.58e-02
40.3125,40.0,40.625,7.90e-01,4.75e-04,-4.75e-04,2.41e-02,-2.41e-02,1.59e-02,-1.59e-02
40.9375,40.625,41.25,7.92e-01,5.02e-04,-5.02e-04,2.42e-02,-2.42e-02,1.60e-02,-1.60e-02
41.5625,41.25,41.875,7.94e-01,5.33e-04,-5.33e-04,2.44e-02,-2.44e-02,1.61e-02,-1.61e-02
42.1875,41.875,42.5,7.96e-01,5.63e-04,-5.63e-04,2.45e-02,-2.45e-02,1.62e-02,-1.62e-02
42.8125,42.5,43.125,7.98e-01,5.96e-04,-5.96e-04,2.46e-02,-2.46e-02,1.63e-02,-1.63e-02
