#: table_doi: 10.17182/hepdata.91996.v2/t10
#: name: Table 10
#: description: Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 20-30% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.
#: data_file: data10.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,<pT> [GEV/C],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
28.4375,28.125,28.75,7.82e-01,2.26e-04,-2.26e-04,2.41e-02,-2.41e-02,1.67e-02,-1.67e-02
29.0625,28.75,29.375,7.85e-01,2.36e-04,-2.36e-04,2.43e-02,-2.43e-02,1.69e-02,-1.69e-02
29.6875,29.375,30.0,7.88e-01,2.46e-04,-2.46e-04,2.44e-02,-2.44e-02,1.70e-02,-1.70e-02
30.3125,30.0,30.625,7.90e-01,2.57e-04,-2.57e-04,2.46e-02,-2.46e-02,1.71e-02,-1.71e-02
30.9375,30.625,31.25,7.93e-01,2.69e-04,-2.69e-04,2.47e-02,-2.47e-02,1.72e-02,-1.72e-02
31.5625,31.25,31.875,7.96e-01,2.81e-04,-2.81e-04,2.49e-02,-2.49e-02,1.73e-02,-1.73e-02
32.1875,31.875,32.5,7.98e-01,2.94e-04,-2.94e-04,2.50e-02,-2.50e-02,1.74e-02,-1.74e-02
32.8125,32.5,33.125,8.01e-01,3.10e-04,-3.10e-04,2.52e-02,-2.52e-02,1.76e-02,-1.76e-02
33.4375,33.125,33.75,8.04e-01,3.25e-04,-3.25e-04,2.53e-02,-2.53e-02,1.77e-02,-1.77e-02
34.0625,33.75,34.375,8.06e-01,3.42e-04,-3.42e-04,2.55e-02,-2.55e-02,1.78e-02,-1.78e-02
34.6875,34.375,35.0,8.09e-01,3.59e-04,-3.59e-04,2.56e-02,-2.56e-02,1.80e-02,-1.80e-02
35.3125,35.0,35.625,8.11e-01,3.78e-04,-3.78e-04,2.57e-02,-2.57e-02,1.81e-02,-1.81e-02
35.9375,35.625,36.25,8.14e-01,3.99e-04,-3.99e-04,2.59e-02,-2.59e-02,1.82e-02,-1.82e-02
36.5625,36.25,36.875,8.16e-01,4.18e-04,-4.18e-04,2.60e-02,-2.60e-02,1.83e-02,-1.83e-02
37.1875,36.875,37.5,8.18e-01,4.39e-04,-4.39e-04,2.61e-02,-2.61e-02,1.84e-02,-1.84e-02
37.8125,37.5,38.125,8.21e-01,4.63e-04,-4.63e-04,2.63e-02,-2.63e-02,1.85e-02,-1.85e-02
38.4375,38.125,38.75,8.23e-01,4.88e-04,-4.88e-04,2.64e-02,-2.64e-02,1.86e-02,-1.86e-02
39.0625,38.75,39.375,8.25e-01,5.13e-04,-5.13e-04,2.66e-02,-2.66e-02,1.87e-02,-1.87e-02
39.6875,39.375,40.0,8.28e-01,5.41e-04,-5.41e-04,2.67e-02,-2.67e-02,1.89e-02,-1.89e-02
40.3125,40.0,40.625,8.30e-01,5.72e-04,-5.72e-04,2.69e-02,-2.69e-02,1.90e-02,-1.90e-02
40.9375,40.625,41.25,8.32e-01,6.02e-04,-6.02e-04,2.70e-02,-2.70e-02,1.92e-02,-1.92e-02
41.5625,41.25,41.875,8.35e-01,6.40e-04,-6.40e-04,2.72e-02,-2.72e-02,1.93e-02,-1.93e-02
42.1875,41.875,42.5,8.37e-01,6.76e-04,-6.76e-04,2.73e-02,-2.73e-02,1.94e-02,-1.94e-02
42.8125,42.5,43.125,8.39e-01,7.15e-04,-7.15e-04,2.75e-02,-2.75e-02,1.95e-02,-1.95e-02
43.4375,43.125,43.75,8.41e-01,7.57e-04,-7.57e-04,2.76e-02,-2.76e-02,1.96e-02,-1.96e-02
44.0625,43.75,44.375,8.43e-01,8.02e-04,-8.02e-04,2.78e-02,-2.78e-02,1.97e-02,-1.97e-02
44.6875,44.375,45.0,8.45e-01,8.51e-04,-8.51e-04,2.79e-02,-2.79e-02,1.98e-02,-1.98e-02
45.3125,45.0,45.625,8.47e-01,9.02e-04,-9.02e-04,2.80e-02,-2.80e-02,1.99e-02,-1.99e-02
45.9375,45.625,46.25,8.49e-01,9.59e-04,-9.59e-04,2.81e-02,-2.81e-02,2.00e-02,-2.00e-02
46.5625,46.25,46.875,8.52e-01,1.02e-03,-1.02e-03,2.82e-02,-2.82e-02,2.01e-02,-2.01e-02
47.1875,46.875,47.5,8.54e-01,1.09e-03,-1.09e-03,2.83e-02,-2.83e-02,2.02e-02,-2.02e-02
47.8125,47.5,48.125,8.56e-01,1.16e-03,-1.16e-03,2.85e-02,-2.85e-02,2.03e-02,-2.03e-02
48.4375,48.125,48.75,8.58e-01,1.23e-03,-1.23e-03,2.85e-02,-2.85e-02,2.04e-02,-2.04e-02
49.0625,48.75,49.375,8.60e-01,1.31e-03,-1.31e-03,2.87e-02,-2.87e-02,2.05e-02,-2.05e-02
49.6875,49.375,50.0,8.62e-01,1.39e-03,-1.39e-03,2.88e-02,-2.88e-02,2.06e-02,-2.06e-02

