#: table_doi: 10.17182/hepdata.91996.v2/t10
#: name: Table 10
#: description: Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 20-30% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.
#: data_file: data10.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,<pT> [GEV/C],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
2.1875,1.875,2.5,5.35e-01,2.80e-04,-2.80e-04,2.32e-02,-2.32e-02,2.07e-02,-2.07e-02
2.8125,2.5,3.125,5.46e-01,1.80e-04,-1.80e-04,1.75e-02,-1.75e-02,1.42e-02,-1.42e-02
3.4375,3.125,3.75,5.59e-01,1.44e-04,-1.44e-04,1.69e-02,-1.69e-02,1.38e-02,-1.38e-02
4.0625,3.75,4.375,5.72e-01,1.30e-04,-1.30e-04,1.67e-02,-1.67e-02,1.37e-02,-1.37e-02
4.6875,4.375,5.0,5.86e-01,1.23e-04,-1.23e-04,1.75e-02,-1.75e-02,1.46e-02,-1.46e-02
5.3125,5.0,5.625,5.98e-01,1.19e-04,-1.19e-04,1.74e-02,-1.74e-02,1.43e-02,-1.43e-02
5.9375,5.625,6.25,6.10e-01,1.16e-04,-1.16e-04,1.88e-02,-1.88e-02,1.56e-02,-1.56e-02
6.5625,6.25,6.875,6.20e-01,1.13e-04,-1.13e-04,1.88e-02,-1.88e-02,1.53e-02,-1.53e-02
7.1875,6.875,7.5,6.29e-01,1.12e-04,-1.12e-04,1.92e-02,-1.92e-02,1.53e-02,-1.53e-02
7.8125,7.5,8.125,6.38e-01,1.11e-04,-1.11e-04,1.94e-02,-1.94e-02,1.53e-02,-1.53e-02
8.4375,8.125,8.75,6.46e-01,1.10e-04,-1.10e-04,2.02e-02,-2.02e-02,1.58e-02,-1.58e-02
9.0625,8.75,9.375,6.53e-01,1.06e-04,-1.06e-04,2.00e-02,-2.00e-02,1.55e-02,-1.55e-02
9.6875,9.375,10.0,6.60e-01,1.07e-04,-1.07e-04,1.94e-02,-1.94e-02,1.45e-02,-1.45e-02
10.3125,10.0,10.625,6.67e-01,1.08e-04,-1.08e-04,1.94e-02,-1.94e-02,1.43e-02,-1.43e-02
10.9375,10.625,11.25,6.73e-01,1.08e-04,-1.08e-04,2.06e-02,-2.06e-02,1.52e-02,-1.52e-02
11.5625,11.25,11.875,6.79e-01,1.09e-04,-1.09e-04,2.13e-02,-2.13e-02,1.63e-02,-1.63e-02
12.1875,11.875,12.5,6.85e-01,1.11e-04,-1.11e-04,2.12e-02,-2.12e-02,1.60e-02,-1.60e-02
12.8125,12.5,13.125,6.90e-01,1.12e-04,-1.12e-04,2.15e-02,-2.15e-02,1.61e-02,-1.61e-02
13.4375,13.125,13.75,6.95e-01,1.14e-04,-1.14e-04,2.01e-02,-2.01e-02,1.40e-02,-1.40e-02
14.0625,13.75,14.375,7.00e-01,1.16e-04,-1.16e-04,2.14e-02,-2.14e-02,1.56e-02,-1.56e-02
14.6875,14.375,15.0,7.05e-01,1.17e-04,-1.17e-04,2.13e-02,-2.13e-02,1.56e-02,-1.56e-02
15.3125,15.0,15.625,7.10e-01,1.19e-04,-1.19e-04,2.10e-02,-2.10e-02,1.47e-02,-1.47e-02
15.9375,15.625,16.25,7.14e-01,1.22e-04,-1.22e-04,2.14e-02,-2.14e-02,1.50e-02,-1.50e-02
16.5625,16.25,16.875,7.19e-01,1.24e-04,-1.24e-04,2.18e-02,-2.18e-02,1.55e-02,-1.55e-02
17.1875,16.875,17.5,7.23e-01,1.27e-04,-1.27e-04,2.21e-02,-2.21e-02,1.59e-02,-1.59e-02
17.8125,17.5,18.125,7.27e-01,1.30e-04,-1.30e-04,2.24e-02,-2.24e-02,1.61e-02,-1.61e-02
18.4375,18.125,18.75,7.31e-01,1.33e-04,-1.33e-04,2.22e-02,-2.22e-02,1.57e-02,-1.57e-02
19.0625,18.75,19.375,7.35e-01,1.37e-04,-1.37e-04,2.21e-02,-2.21e-02,1.53e-02,-1.53e-02
19.6875,19.375,20.0,7.38e-01,1.40e-04,-1.40e-04,2.20e-02,-2.20e-02,1.53e-02,-1.53e-02
20.3125,20.0,20.625,7.42e-01,1.44e-04,-1.44e-04,2.27e-02,-2.27e-02,1.61e-02,-1.61e-02
20.9375,20.625,21.25,7.45e-01,1.48e-04,-1.48e-04,2.33e-02,-2.33e-02,1.70e-02,-1.70e-02
21.5625,21.25,21.875,7.49e-01,1.53e-04,-1.53e-04,2.24e-02,-2.24e-02,1.54e-02,-1.54e-02
22.1875,21.875,22.5,7.52e-01,1.57e-04,-1.57e-04,2.25e-02,-2.25e-02,1.52e-02,-1.52e-02
22.8125,22.5,23.125,7.55e-01,1.62e-04,-1.62e-04,2.27e-02,-2.27e-02,1.55e-02,-1.55e-02
23.4375,23.125,23.75,7.59e-01,1.67e-04,-1.67e-04,2.29e-02,-2.29e-02,1.61e-02,-1.61e-02
24.0625,23.75,24.375,7.62e-01,1.73e-04,-1.73e-04,2.30e-02,-2.30e-02,1.55e-02,-1.55e-02
24.6875,24.375,25.0,7.65e-01,1.78e-04,-1.78e-04,2.32e-02,-2.32e-02,1.58e-02,-1.58e-02
25.3125,25.0,25.625,7.68e-01,1.85e-04,-1.85e-04,2.34e-02,-2.34e-02,1.61e-02,-1.61e-02
25.9375,25.625,26.25,7.71e-01,1.93e-04,-1.93e-04,2.35e-02,-2.35e-02,1.63e-02,-1.63e-02
26.5625,26.25,26.875,7.74e-01,2.00e-04,-2.00e-04,2.37e-02,-2.37e-02,1.64e-02,-1.64e-02
27.1875,26.875,27.5,7.77e-01,2.08e-04,-2.08e-04,2.38e-02,-2.38e-02,1.65e-02,-1.65e-02
27.8125,27.5,28.125,7.79e-01,2.17e-04,-2.17e-04,2.40e-02,-2.40e-02,1.66e-02,-1.66e-02
