#: table_doi: 10.17182/hepdata.91996.v2/t4
#: name: Table 4
#: description: Transverse momentum spectra as a function of the event multiplicity for pp collisions at 5.02 TeV. Event multiplicity is estimated with the signal in the VZERO detector. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.
#: data_file: data4.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (X)],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
5.25,5.0,5.5,2.688e-03,2.110e-05,-2.110e-05,1.400e-04,-1.400e-04,1.093e-04,-1.093e-04
5.75,5.5,6.0,1.670e-03,1.663e-05,-1.663e-05,8.767e-05,-8.767e-05,6.843e-05,-6.843e-05
6.25,6.0,6.5,1.077e-03,1.312e-05,-1.312e-05,5.736e-05,-5.736e-05,4.539e-05,-4.539e-05
6.75,6.5,7.0,7.270e-04,1.078e-05,-1.078e-05,3.843e-05,-3.843e-05,3.041e-05,-3.041e-05
7.5,7.0,8.0,4.279e-04,5.850e-06,-5.850e-06,2.220e-05,-2.220e-05,1.757e-05,-1.757e-05
9.0,8.0,10.0,1.701e-04,2.588e-06,-2.588e-06,9.711e-06,-9.711e-06,7.263e-06,-7.263e-06
11.5,10.0,13.0,4.681e-05,1.096e-06,-1.096e-06,3.256e-06,-3.256e-06,2.432e-06,-2.432e-06
16.5,13.0,20.0,8.323e-06,3.021e-07,-3.021e-07,5.563e-07,-5.563e-07,3.804e-07,-3.804e-07

#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (VI)],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.175,0.15,0.2,1.270e+01,6.333e-03,-6.333e-03,4.026e-01,-4.026e-01,2.570e-01,-2.570e-01
0.225,0.2,0.25,1.279e+01,4.570e-03,-4.570e-03,3.607e-01,-3.607e-01,2.579e-01,-2.579e-01
0.275,0.25,0.3,1.197e+01,4.306e-03,-4.306e-03,3.388e-01,-3.388e-01,2.410e-01,-2.410e-01
0.32499999999999996,0.3,0.35,1.098e+01,4.065e-03,-4.065e-03,3.514e-01,-3.514e-01,2.210e-01,-2.210e-01
0.375,0.35,0.4,9.864e+00,3.805e-03,-3.805e-03,3.275e-01,-3.275e-01,1.984e-01,-1.984e-01
0.42500000000000004,0.4,0.45,8.782e+00,3.569e-03,-3.569e-03,3.113e-01,-3.113e-01,1.769e-01,-1.769e-01
0.475,0.45,0.5,7.762e+00,3.412e-03,-3.412e-03,2.835e-01,-2.835e-01,1.562e-01,-1.562e-01
0.525,0.5,0.55,6.850e+00,3.302e-03,-3.302e-03,2.606e-01,-2.606e-01,1.379e-01,-1.379e-01
0.575,0.55,0.6,6.061e+00,3.170e-03,-3.170e-03,2.396e-01,-2.396e-01,1.222e-01,-1.222e-01
0.625,0.6,0.65,5.352e+00,3.047e-03,-3.047e-03,2.116e-01,-2.116e-01,1.075e-01,-1.075e-01
0.675,0.65,0.7,4.736e+00,2.941e-03,-2.941e-03,1.763e-01,-1.763e-01,9.510e-02,-9.510e-02
0.725,0.7,0.75,4.204e+00,2.818e-03,-2.818e-03,1.533e-01,-1.533e-01,8.911e-02,-8.911e-02
0.775,0.75,0.8,3.725e+00,2.695e-03,-2.695e-03,1.313e-01,-1.313e-01,8.009e-02,-8.009e-02
0.825,0.8,0.85,3.320e+00,2.582e-03,-2.582e-03,1.158e-01,-1.158e-01,7.243e-02,-7.243e-02
0.875,0.85,0.9,2.959e+00,2.471e-03,-2.471e-03,1.011e-01,-1.011e-01,6.561e-02,-6.561e-02
0.925,0.9,0.95,2.644e+00,2.365e-03,-2.365e-03,8.953e-02,-8.953e-02,5.961e-02,-5.961e-02
0.975,0.95,1.0,2.360e+00,2.240e-03,-2.240e-03,8.649e-02,-8.649e-02,5.408e-02,-5.408e-02
1.05,1.0,1.1,2.004e+00,1.450e-03,-1.450e-03,7.716e-02,-7.716e-02,4.729e-02,-4.729e-02
1.15,1.1,1.2,1.616e+00,1.288e-03,-1.288e-03,6.492e-02,-6.492e-02,3.974e-02,-3.974e-02
1.25,1.2,1.3,1.295e+00,1.139e-03,-1.139e-03,5.127e-02,-5.127e-02,3.399e-02,-3.399e-02
1.35,1.3,1.4,1.069e+00,1.037e-03,-1.037e-03,4.256e-02,-4.256e-02,2.821e-02,-2.821e-02
1.45,1.4,1.5,8.589e-01,9.181e-04,-9.181e-04,3.671e-02,-3.671e-02,2.585e-02,-2.585e-02
1.55,1.5,1.6,7.136e-01,8.385e-04,-8.385e-04,3.048e-02,-3.048e-02,2.117e-02,-2.117e-02
1.65,1.6,1.7,5.822e-01,7.497e-04,-7.497e-04,2.657e-02,-2.657e-02,1.953e-02,-1.953e-02
1.75,1.7,1.8,4.849e-01,6.853e-04,-6.853e-04,2.220e-02,-2.220e-02,1.611e-02,-1.611e-02
1.85,1.8,1.9,3.976e-01,6.154e-04,-6.154e-04,2.014e-02,-2.014e-02,1.552e-02,-1.552e-02
1.95,1.9,2.0,3.325e-01,5.629e-04,-5.629e-04,1.691e-02,-1.691e-02,1.288e-02,-1.288e-02
2.1,2.0,2.2,2.531e-01,3.449e-04,-3.449e-04,1.264e-02,-1.264e-02,9.791e-03,-9.791e-03
2.3,2.2,2.4,1.800e-01,2.895e-04,-2.895e-04,9.102e-03,-9.102e-03,6.977e-03,-6.977e-03
2.5,2.4,2.6,1.284e-01,2.435e-04,-2.435e-04,6.505e-03,-6.505e-03,4.969e-03,-4.969e-03
2.7,2.6,2.8,9.316e-02,2.065e-04,-2.065e-04,4.759e-03,-4.759e-03,3.604e-03,-3.604e-03
2.9,2.8,3.0,6.824e-02,1.759e-04,-1.759e-04,3.506e-03,-3.506e-03,2.667e-03,-2.667e-03
3.1,3.0,3.2,5.052e-02,1.510e-04,-1.510e-04,2.599e-03,-2.599e-03,1.954e-03,-1.954e-03
3.3,3.2,3.4,3.785e-02,1.296e-04,-1.296e-04,1.969e-03,-1.969e-03,1.469e-03,-1.469e-03
3.5,3.4,3.6,2.919e-02,1.140e-04,-1.140e-04,1.516e-03,-1.516e-03,1.131e-03,-1.131e-03
3.7,3.6,3.8,2.221e-02,9.859e-05,-9.859e-05,1.128e-03,-1.128e-03,8.615e-04,-8.615e-04
3.9,3.8,4.0,1.719e-02,8.656e-05,-8.656e-05,8.748e-04,-8.748e-04,6.682e-04,-6.682e-04
4.25,4.0,4.5,1.131e-02,4.410e-05,-4.410e-05,5.760e-04,-5.760e-04,4.379e-04,-4.379e-04
4.75,4.5,5.0,6.581e-03,3.355e-05,-3.355e-05,3.365e-04,-3.365e-04,2.554e-04,-2.554e-04
5.25,5.0,5.5,3.874e-03,2.548e-05,-2.548e-05,1.979e-04,-1.979e-04,1.508e-04,-1.508e-04
5.75,5.5,6.0,2.462e-03,2.031e-05,-2.031e-05,1.265e-04,-1.265e-04,9.578e-05,-9.578e-05
6.25,6.0,6.5,1.528e-03,1.572e-05,-1.572e-05,7.702e-05,-7.702e-05,6.055e-05,-6.055e-05
6.75,6.5,7.0,1.033e-03,1.293e-05,-1.293e-05,5.173e-05,-5.173e-05,3.997e-05,-3.997e-05
7.5,7.0,8.0,6.111e-04,7.031e-06,-7.031e-06,3.075e-05,-3.075e-05,2.418e-05,-2.418e-05
9.0,8.0,10.0,2.499e-04,3.155e-06,-3.155e-06,1.240e-05,-1.240e-05,9.737e-06,-9.737e-06
11.5,10.0,13.0,6.809e-05,1.330e-06,-1.330e-06,4.329e-06,-4.329e-06,3.182e-06,-3.182e-06
16.5,13.0,20.0,1.282e-05,3.770e-07,-3.770e-07,7.963e-07,-7.963e-07,5.320e-07,-5.320e-07

#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (V)],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.175,0.15,0.2,1.470e+01,9.652e-03,-9.652e-03,4.438e-01,-4.438e-01,2.975e-01,-2.975e-01
0.225,0.2,0.25,1.474e+01,6.952e-03,-6.952e-03,3.813e-01,-3.813e-01,2.982e-01,-2.982e-01
0.275,0.25,0.3,1.379e+01,6.551e-03,-6.551e-03,3.587e-01,-3.587e-01,2.779e-01,-2.779e-01
0.32499999999999996,0.3,0.35,1.266e+01,6.188e-03,-6.188e-03,3.812e-01,-3.812e-01,2.549e-01,-2.549e-01
0.375,0.35,0.4,1.140e+01,5.797e-03,-5.797e-03,3.539e-01,-3.539e-01,2.293e-01,-2.293e-01
0.42500000000000004,0.4,0.45,1.018e+01,5.445e-03,-5.445e-03,3.411e-01,-3.411e-01,2.048e-01,-2.048e-01
0.475,0.45,0.5,9.026e+00,5.215e-03,-5.215e-03,3.156e-01,-3.156e-01,1.814e-01,-1.814e-01
0.525,0.5,0.55,8.007e+00,5.059e-03,-5.059e-03,2.905e-01,-2.905e-01,1.608e-01,-1.608e-01
0.575,0.55,0.6,7.111e+00,4.868e-03,-4.868e-03,2.695e-01,-2.695e-01,1.432e-01,-1.432e-01
0.625,0.6,0.65,6.299e+00,4.685e-03,-4.685e-03,2.475e-01,-2.475e-01,1.265e-01,-1.265e-01
0.675,0.65,0.7,5.607e+00,4.536e-03,-4.536e-03,2.026e-01,-2.026e-01,1.130e-01,-1.130e-01
0.725,0.7,0.75,4.996e+00,4.355e-03,-4.355e-03,1.654e-01,-1.654e-01,1.006e-01,-1.006e-01
0.775,0.75,0.8,4.450e+00,4.176e-03,-4.176e-03,1.419e-01,-1.419e-01,8.944e-02,-8.944e-02
0.825,0.8,0.85,3.980e+00,4.008e-03,-4.008e-03,1.240e-01,-1.240e-01,7.995e-02,-7.995e-02
0.875,0.85,0.9,3.561e+00,3.843e-03,-3.843e-03,1.089e-01,-1.089e-01,7.157e-02,-7.157e-02
0.925,0.9,0.95,3.201e+00,3.690e-03,-3.690e-03,9.520e-02,-9.520e-02,6.442e-02,-6.442e-02
0.975,0.95,1.0,2.863e+00,3.498e-03,-3.498e-03,9.415e-02,-9.415e-02,5.751e-02,-5.751e-02
1.05,1.0,1.1,2.446e+00,2.271e-03,-2.271e-03,8.533e-02,-8.533e-02,4.908e-02,-4.908e-02
1.15,1.1,1.2,1.982e+00,2.023e-03,-2.023e-03,7.296e-02,-7.296e-02,4.211e-02,-4.211e-02
1.25,1.2,1.3,1.604e+00,1.798e-03,-1.798e-03,5.811e-02,-5.811e-02,3.707e-02,-3.707e-02
1.35,1.3,1.4,1.331e+00,1.641e-03,-1.641e-03,4.845e-02,-4.845e-02,3.091e-02,-3.091e-02
1.45,1.4,1.5,1.076e+00,1.457e-03,-1.457e-03,4.273e-02,-4.273e-02,2.957e-02,-2.957e-02
1.55,1.5,1.6,8.983e-01,1.334e-03,-1.334e-03,3.557e-02,-3.557e-02,2.437e-02,-2.437e-02
1.65,1.6,1.7,7.324e-01,1.193e-03,-1.193e-03,3.140e-02,-3.140e-02,2.292e-02,-2.292e-02
1.75,1.7,1.8,6.138e-01,1.094e-03,-1.094e-03,2.620e-02,-2.620e-02,1.903e-02,-1.903e-02
1.85,1.8,1.9,5.063e-01,9.849e-04,-9.849e-04,2.424e-02,-2.424e-02,1.868e-02,-1.868e-02
1.95,1.9,2.0,4.250e-01,9.026e-04,-9.026e-04,2.037e-02,-2.037e-02,1.563e-02,-1.563e-02
2.1,2.0,2.2,3.258e-01,5.550e-04,-5.550e-04,1.536e-02,-1.536e-02,1.201e-02,-1.201e-02
2.3,2.2,2.4,2.321e-01,4.663e-04,-4.663e-04,1.113e-02,-1.113e-02,8.505e-03,-8.505e-03
2.5,2.4,2.6,1.666e-01,3.936e-04,-3.936e-04,8.025e-03,-8.025e-03,6.181e-03,-6.181e-03
2.7,2.6,2.8,1.216e-01,3.346e-04,-3.346e-04,5.911e-03,-5.911e-03,4.461e-03,-4.461e-03
2.9,2.8,3.0,8.922e-02,2.853e-04,-2.853e-04,4.342e-03,-4.342e-03,3.310e-03,-3.310e-03
3.1,3.0,3.2,6.641e-02,2.456e-04,-2.456e-04,3.218e-03,-3.218e-03,2.441e-03,-2.441e-03
3.3,3.2,3.4,4.965e-02,2.107e-04,-2.107e-04,2.419e-03,-2.419e-03,1.842e-03,-1.842e-03
3.5,3.4,3.6,3.823e-02,1.851e-04,-1.851e-04,1.878e-03,-1.878e-03,1.408e-03,-1.408e-03
3.7,3.6,3.8,2.910e-02,1.601e-04,-1.601e-04,1.403e-03,-1.403e-03,1.069e-03,-1.069e-03
3.9,3.8,4.0,2.274e-02,1.412e-04,-1.412e-04,1.093e-03,-1.093e-03,8.348e-04,-8.348e-04
4.25,4.0,4.5,1.502e-02,7.211e-05,-7.211e-05,7.234e-04,-7.234e-04,5.513e-04,-5.513e-04
4.75,4.5,5.0,8.682e-03,5.467e-05,-5.467e-05,4.165e-04,-4.165e-04,3.210e-04,-3.210e-04
5.25,5.0,5.5,5.179e-03,4.179e-05,-4.179e-05,2.467e-04,-2.467e-04,1.907e-04,-1.907e-04
5.75,5.5,6.0,3.244e-03,3.307e-05,-3.307e-05,1.592e-04,-1.592e-04,1.240e-04,-1.240e-04
6.25,6.0,6.5,2.043e-03,2.581e-05,-2.581e-05,1.010e-04,-1.010e-04,7.640e-05,-7.640e-05
6.75,6.5,7.0,1.371e-03,2.114e-05,-2.114e-05,6.693e-05,-6.693e-05,5.062e-05,-5.062e-05
7.5,7.0,8.0,8.323e-04,1.165e-05,-1.165e-05,4.071e-05,-4.071e-05,3.079e-05,-3.079e-05
9.0,8.0,10.0,3.303e-04,5.147e-06,-5.147e-06,1.634e-05,-1.634e-05,1.301e-05,-1.301e-05
11.5,10.0,13.0,9.774e-05,2.261e-06,-2.261e-06,5.027e-06,-5.027e-06,3.737e-06,-3.737e-06
16.5,13.0,20.0,1.791e-05,6.324e-07,-6.324e-07,1.079e-06,-1.079e-06,7.438e-07,-7.438e-07

#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (IV)],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.175,0.15,0.2,1.640e+01,1.021e-02,-1.021e-02,4.889e-01,-4.889e-01,3.311e-01,-3.311e-01
0.225,0.2,0.25,1.644e+01,7.348e-03,-7.348e-03,4.225e-01,-4.225e-01,3.315e-01,-3.315e-01
0.275,0.25,0.3,1.535e+01,6.920e-03,-6.920e-03,3.986e-01,-3.986e-01,3.092e-01,-3.092e-01
0.32499999999999996,0.3,0.35,1.409e+01,6.535e-03,-6.535e-03,4.171e-01,-4.171e-01,2.835e-01,-2.835e-01
0.375,0.35,0.4,1.273e+01,6.133e-03,-6.133e-03,3.979e-01,-3.979e-01,2.556e-01,-2.556e-01
0.42500000000000004,0.4,0.45,1.138e+01,5.765e-03,-5.765e-03,3.797e-01,-3.797e-01,2.292e-01,-2.292e-01
0.475,0.45,0.5,1.013e+01,5.533e-03,-5.533e-03,3.498e-01,-3.498e-01,2.036e-01,-2.036e-01
0.525,0.5,0.55,9.003e+00,5.371e-03,-5.371e-03,3.280e-01,-3.280e-01,1.810e-01,-1.810e-01
0.575,0.55,0.6,8.028e+00,5.179e-03,-5.179e-03,3.019e-01,-3.019e-01,1.611e-01,-1.611e-01
0.625,0.6,0.65,7.136e+00,4.993e-03,-4.993e-03,2.703e-01,-2.703e-01,1.431e-01,-1.431e-01
0.675,0.65,0.7,6.369e+00,4.840e-03,-4.840e-03,2.265e-01,-2.265e-01,1.280e-01,-1.280e-01
0.725,0.7,0.75,5.684e+00,4.652e-03,-4.652e-03,1.855e-01,-1.855e-01,1.140e-01,-1.140e-01
0.775,0.75,0.8,5.087e+00,4.471e-03,-4.471e-03,1.586e-01,-1.586e-01,1.020e-01,-1.020e-01
0.825,0.8,0.85,4.555e+00,4.294e-03,-4.294e-03,1.403e-01,-1.403e-01,9.140e-02,-9.140e-02
0.875,0.85,0.9,4.090e+00,4.124e-03,-4.124e-03,1.231e-01,-1.231e-01,8.192e-02,-8.192e-02
0.925,0.9,0.95,3.683e+00,3.963e-03,-3.963e-03,1.080e-01,-1.080e-01,7.395e-02,-7.395e-02
0.975,0.95,1.0,3.309e+00,3.766e-03,-3.766e-03,1.088e-01,-1.088e-01,6.660e-02,-6.660e-02
1.05,1.0,1.1,2.838e+00,2.450e-03,-2.450e-03,9.851e-02,-9.851e-02,5.676e-02,-5.676e-02
1.15,1.1,1.2,2.308e+00,2.186e-03,-2.186e-03,8.448e-02,-8.448e-02,4.823e-02,-4.823e-02
1.25,1.2,1.3,1.878e+00,1.948e-03,-1.948e-03,6.758e-02,-6.758e-02,4.284e-02,-4.284e-02
1.35,1.3,1.4,1.563e+00,1.780e-03,-1.780e-03,5.652e-02,-5.652e-02,3.583e-02,-3.583e-02
1.45,1.4,1.5,1.275e+00,1.589e-03,-1.589e-03,5.064e-02,-5.064e-02,3.473e-02,-3.473e-02
1.55,1.5,1.6,1.065e+00,1.455e-03,-1.455e-03,4.171e-02,-4.171e-02,2.844e-02,-2.844e-02
1.65,1.6,1.7,8.708e-01,1.302e-03,-1.302e-03,3.692e-02,-3.692e-02,2.696e-02,-2.696e-02
1.75,1.7,1.8,7.331e-01,1.197e-03,-1.197e-03,3.112e-02,-3.112e-02,2.252e-02,-2.252e-02
1.85,1.8,1.9,6.074e-01,1.080e-03,-1.080e-03,2.891e-02,-2.891e-02,2.218e-02,-2.218e-02
1.95,1.9,2.0,5.121e-01,9.924e-04,-9.924e-04,2.440e-02,-2.440e-02,1.869e-02,-1.869e-02
2.1,2.0,2.2,3.931e-01,6.106e-04,-6.106e-04,1.838e-02,-1.838e-02,1.441e-02,-1.441e-02
2.3,2.2,2.4,2.806e-01,5.136e-04,-5.136e-04,1.341e-02,-1.341e-02,1.025e-02,-1.025e-02
2.5,2.4,2.6,2.021e-01,4.341e-04,-4.341e-04,9.600e-03,-9.600e-03,7.389e-03,-7.389e-03
2.7,2.6,2.8,1.483e-01,3.701e-04,-3.701e-04,7.154e-03,-7.154e-03,5.417e-03,-5.417e-03
2.9,2.8,3.0,1.083e-01,3.149e-04,-3.149e-04,5.222e-03,-5.222e-03,3.956e-03,-3.956e-03
3.1,3.0,3.2,8.165e-02,2.728e-04,-2.728e-04,3.930e-03,-3.930e-03,3.023e-03,-3.023e-03
3.3,3.2,3.4,6.086e-02,2.336e-04,-2.336e-04,2.964e-03,-2.964e-03,2.222e-03,-2.222e-03
3.5,3.4,3.6,4.718e-02,2.060e-04,-2.060e-04,2.299e-03,-2.299e-03,1.724e-03,-1.724e-03
3.7,3.6,3.8,3.597e-02,1.783e-04,-1.783e-04,1.722e-03,-1.722e-03,1.313e-03,-1.313e-03
3.9,3.8,4.0,2.800e-02,1.570e-04,-1.570e-04,1.343e-03,-1.343e-03,1.025e-03,-1.025e-03
4.25,4.0,4.5,1.849e-02,8.017e-05,-8.017e-05,8.810e-04,-8.810e-04,6.765e-04,-6.765e-04
4.75,4.5,5.0,1.077e-02,6.102e-05,-6.102e-05,5.127e-04,-5.127e-04,3.937e-04,-3.937e-04
5.25,5.0,5.5,6.402e-03,4.655e-05,-4.655e-05,3.049e-04,-3.049e-04,2.365e-04,-2.365e-04
5.75,5.5,6.0,3.991e-03,3.675e-05,-3.675e-05,1.903e-04,-1.903e-04,1.486e-04,-1.486e-04
6.25,6.0,6.5,2.522e-03,2.872e-05,-2.872e-05,1.190e-04,-1.190e-04,9.289e-05,-9.289e-05
6.75,6.5,7.0,1.739e-03,2.385e-05,-2.385e-05,8.225e-05,-8.225e-05,6.359e-05,-6.359e-05
7.5,7.0,8.0,1.011e-03,1.286e-05,-1.286e-05,4.817e-05,-4.817e-05,3.777e-05,-3.777e-05
9.0,8.0,10.0,4.106e-04,5.753e-06,-5.753e-06,2.372e-05,-2.372e-05,1.863e-05,-1.863e-05
11.5,10.0,13.0,1.167e-04,2.477e-06,-2.477e-06,5.959e-06,-5.959e-06,4.436e-06,-4.436e-06
16.5,13.0,20.0,2.222e-05,7.062e-07,-7.062e-07,1.427e-06,-1.427e-06,9.409e-07,-9.409e-07

#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (III)],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.175,0.15,0.2,1.866e+01,1.090e-02,-1.090e-02,5.496e-01,-5.496e-01,3.760e-01,-3.760e-01
0.225,0.2,0.25,1.867e+01,7.839e-03,-7.839e-03,4.782e-01,-4.782e-01,3.761e-01,-3.761e-01
0.275,0.25,0.3,1.744e+01,7.383e-03,-7.383e-03,4.483e-01,-4.483e-01,3.505e-01,-3.505e-01
0.32499999999999996,0.3,0.35,1.605e+01,6.981e-03,-6.981e-03,4.758e-01,-4.758e-01,3.227e-01,-3.227e-01
0.375,0.35,0.4,1.452e+01,6.558e-03,-6.558e-03,4.527e-01,-4.527e-01,2.914e-01,-2.914e-01
0.42500000000000004,0.4,0.45,1.301e+01,6.171e-03,-6.171e-03,4.335e-01,-4.335e-01,2.609e-01,-2.609e-01
0.475,0.45,0.5,1.162e+01,5.932e-03,-5.932e-03,4.032e-01,-4.032e-01,2.333e-01,-2.333e-01
0.525,0.5,0.55,1.037e+01,5.772e-03,-5.772e-03,3.756e-01,-3.756e-01,2.084e-01,-2.084e-01
0.575,0.55,0.6,9.275e+00,5.573e-03,-5.573e-03,3.498e-01,-3.498e-01,1.862e-01,-1.862e-01
0.625,0.6,0.65,8.275e+00,5.383e-03,-5.383e-03,3.112e-01,-3.112e-01,1.661e-01,-1.661e-01
0.675,0.65,0.7,7.415e+00,5.229e-03,-5.229e-03,2.613e-01,-2.613e-01,1.487e-01,-1.487e-01
0.725,0.7,0.75,6.641e+00,5.034e-03,-5.034e-03,2.162e-01,-2.162e-01,1.331e-01,-1.331e-01
0.775,0.75,0.8,5.961e+00,4.845e-03,-4.845e-03,1.856e-01,-1.856e-01,1.196e-01,-1.196e-01
0.825,0.8,0.85,5.361e+00,4.664e-03,-4.664e-03,1.656e-01,-1.656e-01,1.079e-01,-1.079e-01
0.875,0.85,0.9,4.828e+00,4.486e-03,-4.486e-03,1.446e-01,-1.446e-01,9.666e-02,-9.666e-02
0.925,0.9,0.95,4.362e+00,4.318e-03,-4.318e-03,1.292e-01,-1.292e-01,8.753e-02,-8.753e-02
0.975,0.95,1.0,3.929e+00,4.108e-03,-4.108e-03,1.285e-01,-1.285e-01,7.859e-02,-7.859e-02
1.05,1.0,1.1,3.393e+00,2.682e-03,-2.682e-03,1.178e-01,-1.178e-01,6.796e-02,-6.796e-02
1.15,1.1,1.2,2.776e+00,2.401e-03,-2.401e-03,1.012e-01,-1.012e-01,5.775e-02,-5.775e-02
1.25,1.2,1.3,2.269e+00,2.144e-03,-2.144e-03,8.154e-02,-8.154e-02,5.157e-02,-5.157e-02
1.35,1.3,1.4,1.901e+00,1.966e-03,-1.966e-03,6.868e-02,-6.868e-02,4.343e-02,-4.343e-02
1.45,1.4,1.5,1.550e+00,1.754e-03,-1.754e-03,6.157e-02,-6.157e-02,4.210e-02,-4.210e-02
1.55,1.5,1.6,1.301e+00,1.610e-03,-1.610e-03,5.113e-02,-5.113e-02,3.496e-02,-3.496e-02
1.65,1.6,1.7,1.073e+00,1.448e-03,-1.448e-03,4.548e-02,-4.548e-02,3.321e-02,-3.321e-02
1.75,1.7,1.8,9.084e-01,1.334e-03,-1.334e-03,3.852e-02,-3.852e-02,2.785e-02,-2.785e-02
1.85,1.8,1.9,7.516e-01,1.204e-03,-1.204e-03,3.575e-02,-3.575e-02,2.755e-02,-2.755e-02
1.95,1.9,2.0,6.359e-01,1.107e-03,-1.107e-03,3.036e-02,-3.036e-02,2.320e-02,-2.320e-02
2.1,2.0,2.2,4.889e-01,6.820e-04,-6.820e-04,2.294e-02,-2.294e-02,1.788e-02,-1.788e-02
2.3,2.2,2.4,3.520e-01,5.761e-04,-5.761e-04,1.681e-02,-1.681e-02,1.285e-02,-1.285e-02
2.5,2.4,2.6,2.546e-01,4.880e-04,-4.880e-04,1.210e-02,-1.210e-02,9.288e-03,-9.288e-03
2.7,2.6,2.8,1.875e-01,4.168e-04,-4.168e-04,9.016e-03,-9.016e-03,6.846e-03,-6.846e-03
2.9,2.8,3.0,1.385e-01,3.565e-04,-3.565e-04,6.670e-03,-6.670e-03,5.052e-03,-5.052e-03
3.1,3.0,3.2,1.037e-01,3.079e-04,-3.079e-04,5.007e-03,-5.007e-03,3.787e-03,-3.787e-03
3.3,3.2,3.4,7.731e-02,2.637e-04,-2.637e-04,3.757e-03,-3.757e-03,2.839e-03,-2.839e-03
3.5,3.4,3.6,5.971e-02,2.321e-04,-2.321e-04,2.916e-03,-2.916e-03,2.179e-03,-2.179e-03
3.7,3.6,3.8,4.577e-02,2.014e-04,-2.014e-04,2.185e-03,-2.185e-03,1.669e-03,-1.669e-03
3.9,3.8,4.0,3.564e-02,1.773e-04,-1.773e-04,1.702e-03,-1.702e-03,1.299e-03,-1.299e-03
4.25,4.0,4.5,2.377e-02,9.100e-05,-9.100e-05,1.135e-03,-1.135e-03,8.703e-04,-8.703e-04
4.75,4.5,5.0,1.379e-02,6.912e-05,-6.912e-05,6.565e-04,-6.565e-04,5.035e-04,-5.035e-04
5.25,5.0,5.5,8.156e-03,5.261e-05,-5.261e-05,3.825e-04,-3.825e-04,2.993e-04,-2.993e-04
5.75,5.5,6.0,5.218e-03,4.208e-05,-4.208e-05,2.462e-04,-2.462e-04,1.916e-04,-1.916e-04
6.25,6.0,6.5,3.304e-03,3.292e-05,-3.292e-05,1.565e-04,-1.565e-04,1.210e-04,-1.210e-04
6.75,6.5,7.0,2.194e-03,2.682e-05,-2.682e-05,1.047e-04,-1.047e-04,8.102e-05,-8.102e-05
7.5,7.0,8.0,1.325e-03,1.474e-05,-1.474e-05,6.288e-05,-6.288e-05,4.865e-05,-4.865e-05
9.0,8.0,10.0,5.464e-04,6.643e-06,-6.643e-06,3.068e-05,-3.068e-05,2.384e-05,-2.384e-05
11.5,10.0,13.0,1.489e-04,2.800e-06,-2.800e-06,8.402e-06,-8.402e-06,6.154e-06,-6.154e-06
16.5,13.0,20.0,2.769e-05,7.891e-07,-7.891e-07,1.573e-06,-1.573e-06,1.036e-06,-1.036e-06

#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (II)],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.175,0.15,0.2,2.214e+01,1.328e-02,-1.328e-02,6.530e-01,-6.530e-01,4.474e-01,-4.474e-01
0.225,0.2,0.25,2.207e+01,9.538e-03,-9.538e-03,5.683e-01,-5.683e-01,4.448e-01,-4.448e-01
0.275,0.25,0.3,2.065e+01,8.991e-03,-8.991e-03,5.357e-01,-5.357e-01,4.157e-01,-4.157e-01
