#: table_doi: 10.17182/hepdata.91996.v2/t4
#: name: Table 4
#: description: Transverse momentum spectra as a function of the event multiplicity for pp collisions at 5.02 TeV. Event multiplicity is estimated with the signal in the VZERO detector. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.
#: data_file: data4.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (X)],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
7.5,7.0,8.0,3.837e-05,8.482e-07,-8.482e-07,3.749e-06,-3.749e-06,3.403e-06,-3.403e-06
9.0,8.0,10.0,1.426e-05,3.617e-07,-3.617e-07,1.378e-06,-1.378e-06,1.248e-06,-1.248e-06
11.5,10.0,13.0,3.889e-06,1.525e-07,-1.525e-07,3.899e-07,-3.899e-07,3.545e-07,-3.545e-07
16.5,13.0,20.0,6.884e-07,4.193e-08,-4.193e-08,7.191e-08,-7.191e-08,6.459e-08,-6.459e-08

#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (IX)],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.175,0.15,0.2,6.818e+00,3.237e-03,-3.237e-03,2.599e-01,-2.599e-01,1.914e-01,-1.914e-01
0.225,0.2,0.25,6.985e+00,2.356e-03,-2.356e-03,2.442e-01,-2.442e-01,1.967e-01,-1.967e-01
0.275,0.25,0.3,6.600e+00,2.227e-03,-2.227e-03,2.298e-01,-2.298e-01,1.846e-01,-1.846e-01
0.32499999999999996,0.3,0.35,6.060e+00,2.103e-03,-2.103e-03,2.296e-01,-2.296e-01,1.698e-01,-1.698e-01
0.375,0.35,0.4,5.405e+00,1.959e-03,-1.959e-03,2.106e-01,-2.106e-01,1.523e-01,-1.523e-01
0.42500000000000004,0.4,0.45,4.749e+00,1.826e-03,-1.826e-03,1.944e-01,-1.944e-01,1.340e-01,-1.340e-01
0.475,0.45,0.5,4.128e+00,1.730e-03,-1.730e-03,1.736e-01,-1.736e-01,1.179e-01,-1.179e-01
0.525,0.5,0.55,3.576e+00,1.658e-03,-1.658e-03,1.553e-01,-1.553e-01,1.025e-01,-1.025e-01
0.575,0.55,0.6,3.098e+00,1.575e-03,-1.575e-03,1.388e-01,-1.388e-01,8.984e-02,-8.984e-02
0.625,0.6,0.65,2.679e+00,1.497e-03,-1.497e-03,1.202e-01,-1.202e-01,7.819e-02,-7.819e-02
0.675,0.65,0.7,2.316e+00,1.428e-03,-1.428e-03,9.999e-02,-9.999e-02,6.896e-02,-6.896e-02
0.725,0.7,0.75,2.010e+00,1.353e-03,-1.353e-03,8.216e-02,-8.216e-02,6.020e-02,-6.020e-02
0.775,0.75,0.8,1.743e+00,1.279e-03,-1.279e-03,7.022e-02,-7.022e-02,5.338e-02,-5.338e-02
0.825,0.8,0.85,1.517e+00,1.211e-03,-1.211e-03,6.028e-02,-6.028e-02,4.692e-02,-4.692e-02
0.875,0.85,0.9,1.323e+00,1.145e-03,-1.145e-03,5.220e-02,-5.220e-02,4.158e-02,-4.158e-02
0.925,0.9,0.95,1.157e+00,1.084e-03,-1.084e-03,4.532e-02,-4.532e-02,3.665e-02,-3.665e-02
0.975,0.95,1.0,1.012e+00,1.015e-03,-1.015e-03,4.244e-02,-4.244e-02,3.277e-02,-3.277e-02
1.05,1.0,1.1,8.358e-01,6.483e-04,-6.483e-04,3.660e-02,-3.660e-02,2.742e-02,-2.742e-02
1.15,1.1,1.2,6.479e-01,5.639e-04,-5.639e-04,2.876e-02,-2.876e-02,2.123e-02,-2.123e-02
1.25,1.2,1.3,5.031e-01,4.910e-04,-4.910e-04,2.225e-02,-2.225e-02,1.713e-02,-1.713e-02
1.35,1.3,1.4,4.030e-01,4.401e-04,-4.401e-04,1.792e-02,-1.792e-02,1.379e-02,-1.379e-02
1.45,1.4,1.5,3.145e-01,3.833e-04,-3.833e-04,1.470e-02,-1.470e-02,1.154e-02,-1.154e-02
1.55,1.5,1.6,2.549e-01,3.458e-04,-3.458e-04,1.195e-02,-1.195e-02,9.243e-03,-9.243e-03
1.65,1.6,1.7,2.030e-01,3.052e-04,-3.052e-04,1.005e-02,-1.005e-02,7.937e-03,-7.937e-03
1.75,1.7,1.8,1.656e-01,2.761e-04,-2.761e-04,8.233e-03,-8.233e-03,6.402e-03,-6.402e-03
1.85,1.8,1.9,1.330e-01,2.451e-04,-2.451e-04,7.268e-03,-7.268e-03,5.784e-03,-5.784e-03
1.95,1.9,2.0,1.095e-01,2.224e-04,-2.224e-04,6.002e-03,-6.002e-03,4.754e-03,-4.754e-03
2.1,2.0,2.2,8.163e-02,1.348e-04,-1.348e-04,4.359e-03,-4.359e-03,3.515e-03,-3.515e-03
2.3,2.2,2.4,5.619e-02,1.113e-04,-1.113e-04,3.059e-03,-3.059e-03,2.420e-03,-2.420e-03
2.5,2.4,2.6,3.930e-02,9.256e-05,-9.256e-05,2.122e-03,-2.122e-03,1.693e-03,-1.693e-03
2.7,2.6,2.8,2.794e-02,7.769e-05,-7.769e-05,1.550e-03,-1.550e-03,1.204e-03,-1.204e-03
2.9,2.8,3.0,2.024e-02,6.582e-05,-6.582e-05,1.112e-03,-1.112e-03,8.739e-04,-8.739e-04
3.1,3.0,3.2,1.487e-02,5.624e-05,-5.624e-05,8.165e-04,-8.165e-04,6.352e-04,-6.352e-04
3.3,3.2,3.4,1.093e-02,4.781e-05,-4.781e-05,6.076e-04,-6.076e-04,4.684e-04,-4.684e-04
3.5,3.4,3.6,8.326e-03,4.179e-05,-4.179e-05,4.631e-04,-4.631e-04,3.570e-04,-3.570e-04
3.7,3.6,3.8,6.169e-03,3.566e-05,-3.566e-05,3.443e-04,-3.443e-04,2.666e-04,-2.666e-04
3.9,3.8,4.0,4.779e-03,3.131e-05,-3.131e-05,2.666e-04,-2.666e-04,2.065e-04,-2.065e-04
4.25,4.0,4.5,3.183e-03,1.604e-05,-1.604e-05,1.750e-04,-1.750e-04,1.367e-04,-1.367e-04
4.75,4.5,5.0,1.767e-03,1.192e-05,-1.192e-05,9.661e-05,-9.661e-05,7.580e-05,-7.580e-05
5.25,5.0,5.5,1.030e-03,9.007e-06,-9.007e-06,5.688e-05,-5.688e-05,4.565e-05,-4.565e-05
5.75,5.5,6.0,6.534e-04,7.174e-06,-7.174e-06,3.639e-05,-3.639e-05,2.819e-05,-2.819e-05
6.25,6.0,6.5,4.055e-04,5.546e-06,-5.546e-06,2.298e-05,-2.298e-05,1.805e-05,-1.805e-05
6.75,6.5,7.0,2.668e-04,4.499e-06,-4.499e-06,1.524e-05,-1.524e-05,1.187e-05,-1.187e-05
7.5,7.0,8.0,1.539e-04,2.416e-06,-2.416e-06,8.803e-06,-8.803e-06,6.857e-06,-6.857e-06
9.0,8.0,10.0,6.072e-05,1.064e-06,-1.064e-06,3.786e-06,-3.786e-06,2.891e-06,-2.891e-06
11.5,10.0,13.0,1.733e-05,4.592e-07,-4.592e-07,1.102e-06,-1.102e-06,8.459e-07,-8.459e-07
16.5,13.0,20.0,3.174e-06,1.284e-07,-1.284e-07,2.021e-07,-2.021e-07,1.481e-07,-1.481e-07

#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (VIII)],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.175,0.15,0.2,8.841e+00,5.254e-03,-5.254e-03,3.327e-01,-3.327e-01,2.346e-01,-2.346e-01
0.225,0.2,0.25,8.992e+00,3.810e-03,-3.810e-03,3.092e-01,-3.092e-01,2.389e-01,-2.389e-01
0.275,0.25,0.3,8.448e+00,3.594e-03,-3.594e-03,2.902e-01,-2.902e-01,2.240e-01,-2.240e-01
0.32499999999999996,0.3,0.35,7.754e+00,3.394e-03,-3.394e-03,2.913e-01,-2.913e-01,2.062e-01,-2.062e-01
0.375,0.35,0.4,6.932e+00,3.167e-03,-3.167e-03,2.675e-01,-2.675e-01,1.848e-01,-1.848e-01
0.42500000000000004,0.4,0.45,6.120e+00,2.958e-03,-2.958e-03,2.471e-01,-2.471e-01,1.638e-01,-1.638e-01
0.475,0.45,0.5,5.361e+00,2.815e-03,-2.815e-03,2.230e-01,-2.230e-01,1.442e-01,-1.442e-01
0.525,0.5,0.55,4.685e+00,2.710e-03,-2.710e-03,2.010e-01,-2.010e-01,1.266e-01,-1.266e-01
0.575,0.55,0.6,4.095e+00,2.586e-03,-2.586e-03,1.817e-01,-1.817e-01,1.115e-01,-1.115e-01
0.625,0.6,0.65,3.573e+00,2.470e-03,-2.470e-03,1.579e-01,-1.579e-01,9.791e-02,-9.791e-02
0.675,0.65,0.7,3.127e+00,2.370e-03,-2.370e-03,1.321e-01,-1.321e-01,8.656e-02,-8.656e-02
0.725,0.7,0.75,2.741e+00,2.257e-03,-2.257e-03,1.136e-01,-1.136e-01,7.999e-02,-7.999e-02
0.775,0.75,0.8,2.403e+00,2.147e-03,-2.147e-03,9.744e-02,-9.744e-02,7.059e-02,-7.059e-02
0.825,0.8,0.85,2.113e+00,2.043e-03,-2.043e-03,8.537e-02,-8.537e-02,6.258e-02,-6.258e-02
0.875,0.85,0.9,1.864e+00,1.944e-03,-1.944e-03,7.435e-02,-7.435e-02,5.576e-02,-5.576e-02
0.925,0.9,0.95,1.644e+00,1.849e-03,-1.849e-03,6.454e-02,-6.454e-02,4.965e-02,-4.965e-02
0.975,0.95,1.0,1.451e+00,1.740e-03,-1.740e-03,6.067e-02,-6.067e-02,4.415e-02,-4.415e-02
1.05,1.0,1.1,1.216e+00,1.119e-03,-1.119e-03,5.275e-02,-5.275e-02,3.760e-02,-3.760e-02
