#: table_doi: 10.17182/hepdata.91996.v2/t7
#: name: Table 7
#: description: Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 0-100% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.
#: data_file: data7.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,<pT> [GEV/C],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
2.1875,1.875,2.5,5.10e-01,1.05e-04,-1.05e-04,1.52e-02,-1.52e-02,1.14e-02,-1.14e-02
2.8125,2.5,3.125,5.20e-01,9.28e-05,-9.28e-05,1.26e-02,-1.26e-02,8.05e-03,-8.05e-03
3.4375,3.125,3.75,5.31e-01,8.69e-05,-8.69e-05,1.09e-02,-1.09e-02,5.82e-03,-5.82e-03
4.0625,3.75,4.375,5.44e-01,8.39e-05,-8.39e-05,1.03e-02,-1.03e-02,4.69e-03,-4.69e-03
4.6875,4.375,5.0,5.58e-01,8.23e-05,-8.23e-05,1.02e-02,-1.02e-02,4.40e-03,-4.40e-03
5.3125,5.0,5.625,5.71e-01,8.13e-05,-8.13e-05,1.05e-02,-1.05e-02,4.53e-03,-4.53e-03
5.9375,5.625,6.25,5.83e-01,8.06e-05,-8.06e-05,1.10e-02,-1.10e-02,4.63e-03,-4.63e-03
6.5625,6.25,6.875,5.95e-01,8.00e-05,-8.00e-05,1.15e-02,-1.15e-02,4.73e-03,-4.73e-03
7.1875,6.875,7.5,6.05e-01,7.97e-05,-7.97e-05,1.21e-02,-1.21e-02,4.73e-03,-4.73e-03
7.8125,7.5,8.125,6.15e-01,7.95e-05,-7.95e-05,1.24e-02,-1.24e-02,4.79e-03,-4.79e-03
8.4375,8.125,8.75,6.23e-01,7.94e-05,-7.94e-05,1.31e-02,-1.31e-02,4.88e-03,-4.88e-03
9.0625,8.75,9.375,6.31e-01,7.65e-05,-7.65e-05,1.32e-02,-1.32e-02,4.97e-03,-4.97e-03
9.6875,9.375,10.0,6.39e-01,7.73e-05,-7.73e-05,1.35e-02,-1.35e-02,5.03e-03,-5.03e-03
10.3125,10.0,10.625,6.46e-01,7.79e-05,-7.79e-05,1.37e-02,-1.37e-02,5.26e-03,-5.26e-03
10.9375,10.625,11.25,6.53e-01,7.82e-05,-7.82e-05,1.45e-02,-1.45e-02,5.46e-03,-5.46e-03
11.5625,11.25,11.875,6.60e-01,7.90e-05,-7.90e-05,1.44e-02,-1.44e-02,5.58e-03,-5.58e-03
12.1875,11.875,12.5,6.66e-01,7.98e-05,-7.98e-05,1.47e-02,-1.47e-02,5.73e-03,-5.73e-03
12.8125,12.5,13.125,6.72e-01,8.06e-05,-8.06e-05,1.51e-02,-1.51e-02,5.91e-03,-5.91e-03
