#: table_doi: 10.17182/hepdata.91996.v2/t11
#: name: Table 11
#: description: Average transverse momentum as a function of event multiplicity in pp collisions at 13 TeV. Results for the 30-40% spherocity class are presented. Spherocty-dependent uncertainties are indicated as uncorrelated.
#: data_file: data11.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
<dNch/dEta>,<dNch/dEta> LOW,<dNch/dEta> HIGH,<pT> [GEV/C],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
2.1875,1.875,2.5,5.20e-01,2.49e-04,-2.49e-04,2.52e-02,-2.52e-02,2.30e-02,-2.30e-02
2.8125,2.5,3.125,5.31e-01,1.57e-04,-1.57e-04,2.01e-02,-2.01e-02,1.75e-02,-1.75e-02
3.4375,3.125,3.75,5.43e-01,1.22e-04,-1.22e-04,1.85e-02,-1.85e-02,1.59e-02,-1.59e-02
4.0625,3.75,4.375,5.57e-01,1.09e-04,-1.09e-04,1.77e-02,-1.77e-02,1.50e-02,-1.50e-02
4.6875,4.375,5.0,5.69e-01,1.03e-04,-1.03e-04,1.84e-02,-1.84e-02,1.59e-02,-1.59e-02
5.3125,5.0,5.625,5.82e-01,9.91e-05,-9.91e-05,1.79e-02,-1.79e-02,1.51e-02,-1.51e-02
5.9375,5.625,6.25,5.93e-01,9.70e-05,-9.70e-05,1.77e-02,-1.77e-02,1.45e-02,-1.45e-02
6.5625,6.25,6.875,6.03e-01,9.55e-05,-9.55e-05,1.81e-02,-1.81e-02,1.47e-02,-1.47e-02
7.1875,6.875,7.5,6.13e-01,9.44e-05,-9.44e-05,1.90e-02,-1.90e-02,1.53e-02,-1.53e-02
7.8125,7.5,8.125,6.21e-01,9.36e-05,-9.36e-05,1.95e-02,-1.95e-02,1.57e-02,-1.57e-02
8.4375,8.125,8.75,6.29e-01,9.34e-05,-9.34e-05,1.93e-02,-1.93e-02,1.49e-02,-1.49e-02
9.0625,8.75,9.375,6.37e-01,9.00e-05,-9.00e-05,1.93e-02,-1.93e-02,1.48e-02,-1.48e-02
9.6875,9.375,10.0,6.44e-01,9.10e-05,-9.10e-05,1.89e-02,-1.89e-02,1.41e-02,-1.41e-02
10.3125,10.0,10.625,6.51e-01,9.19e-05,-9.19e-05,1.91e-02,-1.91e-02,1.42e-02,-1.42e-02
10.9375,10.625,11.25,6.57e-01,9.24e-05,-9.24e-05,2.02e-02,-2.02e-02,1.49e-02,-1.49e-02
11.5625,11.25,11.875,6.63e-01,9.34e-05,-9.34e-05,1.97e-02,-1.97e-02,1.45e-02,-1.45e-02
12.1875,11.875,12.5,6.69e-01,9.46e-05,-9.46e-05,1.92e-02,-1.92e-02,1.35e-02,-1.35e-02
12.8125,12.5,13.125,6.75e-01,9.59e-05,-9.59e-05,1.98e-02,-1.98e-02,1.40e-02,-1.40e-02
13.4375,13.125,13.75,6.80e-01,9.74e-05,-9.74e-05,1.95e-02,-1.95e-02,1.34e-02,-1.34e-02
14.0625,13.75,14.375,6.85e-01,9.90e-05,-9.90e-05,2.01e-02,-2.01e-02,1.41e-02,-1.41e-02
14.6875,14.375,15.0,6.90e-01,1.01e-04,-1.01e-04,2.02e-02,-2.02e-02,1.44e-02,-1.44e-02
15.3125,15.0,15.625,6.95e-01,1.02e-04,-1.02e-04,2.03e-02,-2.03e-02,1.40e-02,-1.40e-02
15.9375,15.625,16.25,6.99e-01,1.04e-04,-1.04e-04,2.03e-02,-2.03e-02,1.39e-02,-1.39e-02
16.5625,16.25,16.875,7.04e-01,1.07e-04,-1.07e-04,2.12e-02,-2.12e-02,1.50e-02,-1.50e-02
17.1875,16.875,17.5,7.08e-01,1.09e-04,-1.09e-04,1.98e-02,-1.98e-02,1.28e-02,-1.28e-02
17.8125,17.5,18.125,7.12e-01,1.12e-04,-1.12e-04,2.01e-02,-2.01e-02,1.32e-02,-1.32e-02
18.4375,18.125,18.75,7.17e-01,1.15e-04,-1.15e-04,2.02e-02,-2.02e-02,1.32e-02,-1.32e-02
19.0625,18.75,19.375,7.20e-01,1.18e-04,-1.18e-04,2.09e-02,-2.09e-02,1.39e-02,-1.39e-02
19.6875,19.375,20.0,7.24e-01,1.21e-04,-1.21e-04,2.08e-02,-2.08e-02,1.39e-02,-1.39e-02
20.3125,20.0,20.625,7.28e-01,1.24e-04,-1.24e-04,2.10e-02,-2.10e-02,1.40e-02,-1.40e-02
20.9375,20.625,21.25,7.32e-01,1.28e-04,-1.28e-04,2.10e-02,-2.10e-02,1.40e-02,-1.40e-02
21.5625,21.25,21.875,7.35e-01,1.32e-04,-1.32e-04,2.25e-02,-2.25e-02,1.60e-02,-1.60e-02
22.1875,21.875,22.5,7.39e-01,1.36e-04,-1.36e-04,2.17e-02,-2.17e-02,1.42e-02,-1.42e-02
22.8125,22.5,23.125,7.42e-01,1.40e-04,-1.40e-04,2.18e-02,-2.18e-02,1.46e-02,-1.46e-02
23.4375,23.125,23.75,7.45e-01,1.45e-04,-1.45e-04,2.20e-02,-2.20e-02,1.52e-02,-1.52e-02
24.0625,23.75,24.375,7.48e-01,1.50e-04,-1.50e-04,2.22e-02,-2.22e-02,1.46e-02,-1.46e-02
24.6875,24.375,25.0,7.52e-01,1.55e-04,-1.55e-04,2.23e-02,-2.23e-02,1.48e-02,-1.48e-02
25.3125,25.0,25.625,7.55e-01,1.61e-04,-1.61e-04,2.25e-02,-2.25e-02,1.52e-02,-1.52e-02
25.9375,25.625,26.25,7.58e-01,1.68e-04,-1.68e-04,2.27e-02,-2.27e-02,1.53e-02,-1.53e-02
26.5625,26.25,26.875,7.61e-01,1.74e-04,-1.74e-04,2.28e-02,-2.28e-02,1.54e-02,-1.54e-02
27.1875,26.875,27.5,7.64e-01,1.80e-04,-1.80e-04,2.30e-02,-2.30e-02,1.56e-02,-1.56e-02
27.8125,27.5,28.125,7.67e-01,1.88e-04,-1.88e-04,2.31e-02,-2.31e-02,1.57e-02,-1.57e-02
28.4375,28.125,28.75,7.69e-01,1.96e-04,-1.96e-04,2.33e-02,-2.33e-02,1.58e-02,-1.58e-02
29.0625,28.75,29.375,7.72e-01,2.05e-04,-2.05e-04,2.35e-02,-2.35e-02,1.60e-02,-1.60e-02
29.6875,29.375,30.0,7.75e-01,2.14e-04,-2.14e-04,2.36e-02,-2.36e-02,1.61e-02,-1.61e-02
30.3125,30.0,30.625,7.77e-01,2.23e-04,-2.23e-04,2.37e-02,-2.37e-02,1.62e-02,-1.62e-02
30.9375,30.625,31.25,7.80e-01,2.34e-04,-2.34e-04,2.39e-02,-2.39e-02,1.63e-02,-1.63e-02
31.5625,31.25,31.875,7.83e-01,2.45e-04,-2.45e-04,2.40e-02,-2.40e-02,1.64e-02,-1.64e-02
