#: table_doi: 10.17182/hepdata.72491.v1/t11
#: name: Table 11
#: description: Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of pseudorapidity for events with the number of charged particles >=1 having transverse momentum >500 MeV and absolute(pseudorapidity) <0.8.

#: data_file: Table11.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: DN/DETARAP
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: ETARAP(P=3),,,-0.8-0.8
#: N(P=3),,,>= 1
#: PT(P=3) [MEV],,,> 500
#: RE,,,P P --> CHARGED X
#: SQRTS(S) [GeV],,,13000.0
ETARAP(P=3),ETARAP(P=3) LOW,ETARAP(P=3) HIGH,(1/NEV)*DN(P=3)/DETARAP(P=3),stat +,stat -,sys +,sys -
-0.75,-0.8,-0.7,3.52,0.002303,-0.002303,0.03514,-0.03487
-0.6499999999999999,-0.7,-0.6,3.516,0.002293,-0.002293,0.03445,-0.0342
-0.55,-0.6,-0.5,3.508,0.002287,-0.002287,0.03438,-0.03414
-0.45,-0.5,-0.4,3.504,0.00228,-0.00228,0.03386,-0.03362
-0.35,-0.4,-0.3,3.497,0.002276,-0.002276,0.0338,-0.03357
-0.25,-0.3,-0.2,3.497,0.002276,-0.002276,0.03342,-0.0332
-0.15000000000000002,-0.2,-0.1,3.492,0.002276,-0.002276,0.03337,-0.03315
-0.04999999999999982,-0.1,3.608e-16,3.492,0.002283,-0.002283,0.03405,-0.03381
0.05,0.0,0.1,3.484,0.00228,-0.00228,0.03397,-0.03373
0.15000000000000002,0.1,0.2,3.482,0.002272,-0.002272,0.03469,-0.03442
0.25,0.2,0.3,3.483,0.002272,-0.002272,0.0347,-0.03444
0.35,0.3,0.4,3.488,0.002273,-0.002273,0.03429,-0.03404
0.45,0.4,0.5,3.496,0.002278,-0.002278,0.03435,-0.0341
0.55,0.5,0.6,3.498,0.002283,-0.002283,0.03482,-0.03456
0.6499999999999999,0.6,0.7,3.503,0.002289,-0.002289,0.03485,-0.03459
0.75,0.7,0.8,3.504,0.002297,-0.002297,0.03503,-0.03476

