#: table_doi: 10.17182/hepdata.72491.v1/t15
#: name: Table 15
#: description: Extrapolated charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of pseudorapidity for events with the number of charged particles >=1 having transverse momentum >500 MeV and absolute(pseudorapidity) <0.8.

#: data_file: Table15.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: DN/DETARAP
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: ETARAP(P=3),,,-0.8-0.8
#: Extrapolated to include strange baryons,,,
#: N(P=3),,,>= 1
#: PT(P=3) [MEV],,,> 500
#: RE,,,P P --> CHARGED X
#: SQRTS(S) [GeV],,,13000.0
ETARAP(P=3),ETARAP(P=3) LOW,ETARAP(P=3) HIGH,(1/NEV)*DN(P=3)/DETARAP(P=3),stat +,stat -,sys +,sys -
-0.75,-0.8,-0.7,3.601,0.03155,-0.03155,0.01742,-0.01684
-0.6499999999999999,-0.7,-0.6,3.595,0.03004,-0.03004,0.01853,-0.01804
-0.55,-0.6,-0.5,3.585,0.02913,-0.02913,0.01979,-0.01934
-0.45,-0.5,-0.4,3.579,0.02918,-0.02918,0.01871,-0.01827
-0.35,-0.4,-0.3,3.572,0.02978,-0.02978,0.01762,-0.01716
-0.25,-0.3,-0.2,3.571,0.02988,-0.02988,0.01667,-0.0162
-0.15000000000000002,-0.2,-0.1,3.566,0.02933,-0.02933,0.01751,-0.01707
-0.04999999999999982,-0.1,3.608e-16,3.565,0.0284,-0.0284,0.02018,-0.01975
0.05,0.0,0.1,3.556,0.02821,-0.02821,0.0203,-0.01988
0.15000000000000002,0.1,0.2,3.555,0.02928,-0.02928,0.02007,-0.01959
0.25,0.2,0.3,3.557,0.02995,-0.02995,0.01909,-0.01859
0.35,0.3,0.4,3.563,0.02982,-0.02982,0.01853,-0.01804
0.45,0.4,0.5,3.571,0.02927,-0.02927,0.0195,-0.01904
0.55,0.5,0.6,3.574,0.02922,-0.02922,0.02044,-0.01996
0.6499999999999999,0.6,0.7,3.581,0.02974,-0.02974,0.01977,-0.01928
0.75,0.7,0.8,3.585,0.03131,-0.03131,0.0176,-0.01703

