#: table_doi: 10.17182/hepdata.72491.v1/t16
#: name: Table 16
#: description: Extrapolated charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles >=1 having transverse momentum >500 MeV and absolute(pseudorapidity) <0.8.

#: data_file: Table16.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: DN/DETARAP/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering
#: ETARAP(P=3),,,-0.8-0.8
#: Extrapolated to include strange baryons,,,
#: N(P=3),,,>= 1
#: PT(P=3) [MEV],,,> 500
#: RE,,,P P --> CHARGED X
#: SQRTS(S) [GeV],,,13000.0
PT(P=3) [GEV],PT(P=3) [GEV] LOW,PT(P=3) [GEV] HIGH,(1/NEV)*(1/(2PI*PT(P=3))*DN(P=3)/DETARAP(P=3)/DPT(P=3) [GEV**-2],stat +,stat -,sys +,sys -
0.5481,0.5,0.6,2.025,0.0007473,-0.0007473,0.01671,-0.01682
0.6481,0.6,0.7,1.335,0.0005559,-0.0005559,0.01082,-0.0109
0.7481,0.7,0.8,0.9108,0.0003686,-0.0003686,0.008357,-0.008402
0.8482,0.8,0.9,0.6363,0.0002963,-0.0002963,0.006169,-0.006199
0.9482,0.9,1.0,0.4544,0.0002389,-0.0002389,0.004818,-0.004837
1.049,1.0,1.1,0.3308,0.0002095,-0.0002095,0.003834,-0.003847
1.149,1.1,1.2,0.2445,0.0001521,-0.0001521,0.003193,-0.003201
1.249,1.2,1.3,0.1836,0.0001322,-0.0001322,0.002772,-0.002778
1.349,1.3,1.4,0.1397,0.0001119,-0.0001119,0.002508,-0.002512
1.449,1.4,1.5,0.1073,0.0001025,-0.0001025,0.002255,-0.002257
1.549,1.5,1.6,0.08352,8.411e-05,-8.411e-05,0.001999,-0.002001
1.649,1.6,1.7,0.06527,8.212e-05,-8.212e-05,0.001734,-0.001735
1.749,1.7,1.8,0.05162,6.402e-05,-6.402e-05,0.001513,-0.001514
1.849,1.8,1.9,0.04106,5.131e-05,-5.131e-05,0.001323,-0.001324
1.949,1.9,2.0,0.03296,4.868e-05,-4.868e-05,0.001153,-0.001153
2.049,2.0,2.1,0.02641,3.845e-05,-3.845e-05,0.0009992,-0.0009995
2.149,2.1,2.2,0.02152,3.547e-05,-3.547e-05,0.0008637,-0.0008639
2.249,2.2,2.3,0.01743,2.795e-05,-2.795e-05,0.0007476,-0.0007478
2.349,2.3,2.4,0.01434,2.602e-05,-2.602e-05,0.0006527,-0.0006528
2.449,2.4,2.5,0.01177,2.479e-05,-2.479e-05,0.0005624,-0.0005626
2.596,2.5,2.7,0.00892,1.473e-05,-1.473e-05,0.0004531,-0.0004532
2.796,2.7,2.9,0.006194,1.407e-05,-1.407e-05,0.0003373,-0.0003373
2.996,2.9,3.1,0.004364,9.422e-06,-9.422e-06,0.0002486,-0.0002486
3.197,3.1,3.3,0.003149,7.102e-06,-7.102e-06,0.0001861,-0.0001862
3.397,3.3,3.5,0.002272,6.382e-06,-6.382e-06,0.0001369,-0.0001369
3.726,3.5,4.0,0.00137,2.779e-06,-2.779e-06,8.427e-05,-8.428e-05
4.229,4.0,4.5,0.0006763,1.839e-06,-1.839e-06,4.054e-05,-4.054e-05
4.731,4.5,5.0,0.000363,1.209e-06,-1.209e-06,2.079e-05,-2.079e-05
5.43,5.0,6.0,0.0001585,4.735e-07,-4.735e-07,8.04e-06,-8.041e-06
6.441,6.0,7.0,5.852e-05,2.514e-07,-2.514e-07,2.264e-06,-2.265e-06
7.445,7.0,8.0,2.501e-05,1.263e-07,-1.263e-07,6.74e-07,-6.742e-07
8.449,8.0,9.0,1.195e-05,7.313e-08,-7.313e-08,2.597e-07,-2.598e-07
9.466,9.0,10.0,5.839e-06,4.305e-08,-4.305e-08,8.688e-08,-8.696e-08
11.7,10.0,15.0,1.533e-06,1.167e-08,-1.167e-08,2.778e-08,-2.78e-08
17.02,15.0,20.0,1.861e-07,2.744e-09,-2.744e-09,4.472e-09,-4.473e-09
23.64,20.0,30.0,2.59e-08,6.876e-10,-6.876e-10,7.43e-10,-7.432e-10
36.29,30.0,50.0,1.639e-09,1.115e-10,-1.115e-10,9.555e-11,-9.55e-11

