#: table_doi: 10.17182/hepdata.72491.v1/t10
#: name: Table 10
#: description: Extrapolated average transverse momentum  in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of the number of charged particles in the event for events with the number of charged particles >=1 having transverse momentum >500 MeV and absolute(pseudorapidity) <2.5.

#: data_file: Table10.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: PT
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: ETARAP(P=3),,,-2.5-2.5
#: Extrapolated to include strange baryons,,,
#: N(P=3),,,>= 1
#: PT(P=3) [MEV],,,> 500
#: RE,,,P P --> CHARGED X
#: SQRTS(S) [GeV],,,13000.0
N(P=3),N(P=3) LOW,N(P=3) HIGH,MEAN(NAME=PT(P=3)) [GEV],stat +,stat -,sys +,sys -
1.0,0.5,1.5,0.7737,0.0008006,-0.0008006,0.01549,-0.01549
2.0,1.5,2.5,0.7904,0.0006536,-0.0006536,0.01584,-0.01584
3.0,2.5,3.5,0.809,0.0006216,-0.0006216,0.00818,-0.00818
4.0,3.5,4.5,0.8289,0.0006253,-0.0006253,0.00843,-0.00843
5.0,4.5,5.5,0.8486,0.0006443,-0.0006443,0.002721,-0.002721
6.0,5.5,6.5,0.8673,0.0006692,-0.0006692,0.002773,-0.002773
7.0,6.5,7.5,0.8845,0.0006953,-0.0006953,0.002809,-0.002809
8.0,7.5,8.5,0.9,0.0007203,-0.0007203,0.002853,-0.002853
9.0,8.5,9.5,0.9141,0.0007435,-0.0007435,0.002954,-0.002954
10.0,9.5,10.5,0.9269,0.0007658,-0.0007658,0.003143,-0.003143
11.0,10.5,11.5,0.9384,0.0007865,-0.0007865,0.003365,-0.003365
12.0,11.5,12.5,0.9489,0.0008077,-0.0008077,0.003578,-0.003578
13.0,12.5,13.5,0.9585,0.0008277,-0.0008277,0.003745,-0.003745
14.0,13.5,14.5,0.9673,0.0008485,-0.0008485,0.003913,-0.003913
15.0,14.5,15.5,0.9756,0.0008694,-0.0008694,0.004107,-0.004107
16.0,15.5,16.5,0.9832,0.0008902,-0.0008902,0.004294,-0.004294
17.0,16.5,17.5,0.9905,0.0009112,-0.0009112,0.004577,-0.004577
18.0,17.5,18.5,0.9974,0.0009314,-0.0009314,0.004836,-0.004836
19.0,18.5,19.5,1.004,0.0009532,-0.0009532,0.004941,-0.004941
20.0,19.5,20.5,1.01,0.0009658,-0.0009658,0.005088,-0.005088
21.0,20.5,21.5,1.016,0.0009971,-0.0009971,0.005304,-0.005304
22.0,21.5,22.5,1.021,0.00102,-0.00102,0.005536,-0.005536
23.0,22.5,23.5,1.027,0.001046,-0.001046,0.005765,-0.005765
24.0,23.5,24.5,1.032,0.001068,-0.001068,0.005916,-0.005916
25.0,24.5,25.5,1.037,0.001094,-0.001094,0.006023,-0.006023
26.0,25.5,26.5,1.042,0.00112,-0.00112,0.006105,-0.006105
27.0,26.5,27.5,1.046,0.001148,-0.001148,0.006268,-0.006268
