#: table_doi: 10.17182/hepdata.72491.v1/t10
#: name: Table 10
#: description: Extrapolated average transverse momentum  in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of the number of charged particles in the event for events with the number of charged particles >=1 having transverse momentum >500 MeV and absolute(pseudorapidity) <2.5.

#: data_file: Table10.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: PT
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: ETARAP(P=3),,,-2.5-2.5
#: Extrapolated to include strange baryons,,,
#: N(P=3),,,>= 1
#: PT(P=3) [MEV],,,> 500
#: RE,,,P P --> CHARGED X
#: SQRTS(S) [GeV],,,13000.0
N(P=3),N(P=3) LOW,N(P=3) HIGH,MEAN(NAME=PT(P=3)) [GEV],stat +,stat -,sys +,sys -
28.0,27.5,28.5,1.051,0.001178,-0.001178,0.006489,-0.006489
29.0,28.5,29.5,1.056,0.001206,-0.001206,0.006594,-0.006594
30.0,29.5,30.5,1.06,0.001234,-0.001234,0.0067,-0.0067
31.0,30.5,31.5,1.064,0.001266,-0.001266,0.006907,-0.006907
32.0,31.5,32.5,1.068,0.001298,-0.001298,0.007182,-0.007182
33.0,32.5,33.5,1.072,0.001333,-0.001333,0.007431,-0.007431
34.0,33.5,34.5,1.076,0.001364,-0.001364,0.007615,-0.007615
35.0,34.5,35.5,1.079,0.001402,-0.001402,0.007683,-0.007683
36.0,35.5,36.5,1.083,0.001437,-0.001437,0.007694,-0.007694
37.0,36.5,37.5,1.086,0.001476,-0.001476,0.007877,-0.007877
38.0,37.5,38.5,1.09,0.001516,-0.001516,0.008044,-0.008044
39.0,38.5,39.5,1.093,0.001557,-0.001557,0.008288,-0.008288
40.0,39.5,40.5,1.097,0.001601,-0.001601,0.008541,-0.008541
41.0,40.5,41.5,1.1,0.001643,-0.001643,0.008637,-0.008637
42.0,41.5,42.5,1.103,0.001692,-0.001692,0.008695,-0.008695
43.0,42.5,43.5,1.106,0.001735,-0.001735,0.008884,-0.008884
44.0,43.5,44.5,1.109,0.001783,-0.001783,0.009064,-0.009064
45.0,44.5,45.5,1.112,0.001844,-0.001844,0.0092,-0.0092
46.0,45.5,46.5,1.115,0.001894,-0.001894,0.009391,-0.009391
47.0,46.5,47.5,1.118,0.001947,-0.001947,0.009649,-0.009649
48.0,47.5,48.5,1.121,0.002003,-0.002003,0.009943,-0.009943
49.0,48.5,49.5,1.124,0.002069,-0.002069,0.01016,-0.01016
50.0,49.5,50.5,1.127,0.002131,-0.002131,0.01032,-0.01032
51.0,50.5,51.5,1.129,0.002194,-0.002194,0.0105,-0.0105
52.0,51.5,52.5,1.132,0.002271,-0.002271,0.01067,-0.01067
53.0,52.5,53.5,1.135,0.002337,-0.002337,0.01082,-0.01082
54.0,53.5,54.5,1.137,0.002407,-0.002407,0.0109,-0.0109
55.0,54.5,55.5,1.139,0.002486,-0.002486,0.01092,-0.01092
56.0,55.5,56.5,1.142,0.002555,-0.002555,0.01094,-0.01094
57.0,56.5,57.5,1.144,0.002643,-0.002643,0.01106,-0.01106
58.0,57.5,58.5,1.147,0.002735,-0.002735,0.01129,-0.01129
59.0,58.5,59.5,1.149,0.002813,-0.002813,0.01143,-0.01143
60.0,59.5,60.5,1.151,0.002917,-0.002917,0.01148,-0.01148
61.48,60.5,62.5,1.155,0.003026,-0.003026,0.01153,-0.01153
63.48,62.5,64.5,1.159,0.00324,-0.00324,0.01174,-0.01174
65.48,64.5,66.5,1.164,0.003478,-0.003478,0.01211,-0.01211
67.48,66.5,68.5,1.168,0.003715,-0.003715,0.01232,-0.01232
69.48,68.5,70.5,1.172,0.003991,-0.003991,0.01241,-0.01241
71.48,70.5,72.5,1.176,0.004282,-0.004282,0.01253,-0.01253
73.48,72.5,74.5,1.181,0.004623,-0.004623,0.01275,-0.01275
75.48,74.5,76.5,1.185,0.004969,-0.004969,0.01306,-0.01306
77.48,76.5,78.5,1.19,0.005348,-0.005348,0.01353,-0.01353
79.47,78.5,80.5,1.194,0.00582,-0.00582,0.01427,-0.01427
81.48,80.5,82.5,1.198,0.006283,-0.006283,0.01465,-0.01465
83.47,82.5,84.5,1.201,0.00681,-0.00681,0.01413,-0.01413
85.47,84.5,86.5,1.205,0.007382,-0.007382,0.01331,-0.01331
87.47,86.5,88.5,1.208,0.008044,-0.008044,0.01289,-0.01289
89.47,88.5,90.5,1.212,0.008711,-0.008711,0.01302,-0.01302
92.84,90.5,95.5,1.217,0.009739,-0.009739,0.01325,-0.01325
97.83,95.5,100.5,1.224,0.012,-0.012,0.01404,-0.01404
104.8,100.5,110.5,1.237,0.01554,-0.01554,0.01555,-0.01555
114.8,110.5,120.5,1.261,0.02408,-0.02408,0.01636,-0.01636
124.7,120.5,130.5,1.279,0.039,-0.039,0.0166,-0.0166
137.4,130.5,150.5,1.279,0.06755,-0.06755,0.02863,-0.02863

