#: table_doi: 10.17182/hepdata.72491.v1/t14
#: name: Table 14
#: description: Average transverse momentum  in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of the number of charged particles in the event for events with the number of charged particles >=1 having transverse momentum >500 MeV and absolute(pseudorapidity) <0.8.

#: data_file: Table14.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: PT
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: ETARAP(P=3),,,-0.8-0.8
#: N(P=3),,,>= 1
#: PT(P=3) [MEV],,,> 500
#: RE,,,P P --> CHARGED X
#: SQRTS(S) [GeV],,,13000.0
N(P=3),N(P=3) LOW,N(P=3) HIGH,MEAN(NAME=PT(P=3)) [GEV],stat +,stat -,sys +,sys -
1.0,0.5,1.5,0.8255,0.0006417,-0.0006417,0.01653,-0.01653
2.0,1.5,2.5,0.8671,0.0006837,-0.0006837,0.01045,-0.01045
3.0,2.5,3.5,0.9062,0.0007409,-0.0007409,0.004661,-0.004661
4.0,3.5,4.5,0.9384,0.0007909,-0.0007909,0.003044,-0.003044
5.0,4.5,5.5,0.9646,0.0008375,-0.0008375,0.001188,-0.001188
6.0,5.5,6.5,0.9863,0.0008858,-0.0008858,0.001147,-0.001147
7.0,6.5,7.5,1.005,0.0009373,-0.0009373,0.001147,-0.001147
8.0,7.5,8.5,1.02,0.0009943,-0.0009943,0.001212,-0.001212
9.0,8.5,9.5,1.034,0.001056,-0.001056,0.001225,-0.001225
10.0,9.5,10.5,1.047,0.001127,-0.001127,0.001178,-0.001178
11.0,10.5,11.5,1.059,0.001204,-0.001204,0.001118,-0.001118
12.0,11.5,12.5,1.07,0.00129,-0.00129,0.001116,-0.001116
13.0,12.5,13.5,1.08,0.001383,-0.001383,0.001215,-0.001215
14.0,13.5,14.5,1.089,0.001489,-0.001489,0.001326,-0.001326
15.0,14.5,15.5,1.098,0.0016,-0.0016,0.001383,-0.001383
16.0,15.5,16.5,1.106,0.001727,-0.001727,0.001463,-0.001463
17.0,16.5,17.5,1.114,0.001868,-0.001868,0.001525,-0.001525
18.0,17.5,18.5,1.122,0.002025,-0.002025,0.001507,-0.001507
19.0,18.5,19.5,1.13,0.002192,-0.002192,0.001489,-0.001489
20.0,19.5,20.5,1.137,0.002382,-0.002382,0.001497,-0.001497
21.0,20.5,21.5,1.144,0.002591,-0.002591,0.001486,-0.001486
22.0,21.5,22.5,1.152,0.002827,-0.002827,0.001461,-0.001461
23.0,22.5,23.5,1.159,0.003088,-0.003088,0.00144,-0.00144
24.0,23.5,24.5,1.166,0.003373,-0.003373,0.001456,-0.001456
25.0,24.5,25.5,1.172,0.003697,-0.003697,0.001521,-0.001521
26.0,25.5,26.5,1.179,0.004053,-0.004053,0.001627,-0.001627
27.0,26.5,27.5,1.186,0.004467,-0.004467,0.001738,-0.001738
28.0,27.5,28.5,1.192,0.004888,-0.004888,0.00181,-0.00181
29.0,28.5,29.5,1.197,0.005365,-0.005365,0.001858,-0.001858
30.0,29.5,30.5,1.202,0.005884,-0.005884,0.001933,-0.001933
31.0,30.5,31.5,1.207,0.00646,-0.00646,0.002077,-0.002077
32.0,31.5,32.5,1.213,0.007147,-0.007147,0.002314,-0.002314
33.0,32.5,33.5,1.219,0.007881,-0.007881,0.00257,-0.00257
34.0,33.5,34.5,1.225,0.008798,-0.008798,0.002734,-0.002734
35.0,34.5,35.5,1.232,0.009737,-0.009737,0.002808,-0.002808
36.0,35.5,36.5,1.238,0.01086,-0.01086,0.002747,-0.002747
37.0,36.5,37.5,1.245,0.01205,-0.01205,0.002505,-0.002505
38.0,37.5,38.5,1.252,0.01326,-0.01326,0.002158,-0.002158
39.0,38.5,39.5,1.259,0.0151,-0.0151,0.001673,-0.001673
40.0,39.5,40.5,1.263,0.01645,-0.01645,0.001372,-0.001372
41.0,40.5,41.5,1.267,0.01819,-0.01819,0.001425,-0.001425
42.0,41.5,42.5,1.27,0.01995,-0.01995,0.001278,-0.001278
43.0,42.5,43.5,1.274,0.02255,-0.02255,0.001056,-0.001056
44.0,43.5,44.5,1.279,0.02514,-0.02514,0.001008,-0.001008
45.0,44.5,45.5,1.286,0.02813,-0.02813,0.002041,-0.002041
47.14,45.5,50.0,1.306,0.03481,-0.03481,0.004819,-0.004819
51.5,50.0,55.0,1.341,0.05507,-0.05507,0.003622,-0.003622

