#: table_doi: 10.17182/hepdata.72491.v1/t9
#: name: Table 9
#: description: Extrapolated charged-particle multiplicity distributions in proton-proton collisions at a centre-of-mass energy of 13000 GeV for events with the number of charged particles >=1 having transverse momentum >500 MeV and absolute(pseudorapidity) <2.5.

#: data_file: Table9.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: DNEV/DN
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: ETARAP(P=3),,,-2.5-2.5
#: Extrapolated to include strange baryons,,,
#: N(P=3),,,>= 1
#: PT(P=3) [MEV],,,> 500
#: RE,,,P P --> CHARGED X
#: SQRTS(S) [GeV],,,13000.0
N(P=3),N(P=3) LOW,N(P=3) HIGH,(1/NEV)*DNEV/DN(P=3),stat +,stat -,sys +,sys -
1.0,0.5,1.5,0.07837,8.132e-05,-8.132e-05,0.003321,-0.003321
2.0,1.5,2.5,0.08084,6.106e-05,-6.106e-05,0.001877,-0.001876
3.0,2.5,3.5,0.0739,5.081e-05,-5.081e-05,0.000975,-0.0009742
4.0,3.5,4.5,0.06382,4.337e-05,-4.337e-05,0.0003929,-0.0003922
5.0,4.5,5.5,0.05446,3.759e-05,-3.759e-05,0.000251,-0.0002522
6.0,5.5,6.5,0.04704,3.328e-05,-3.328e-05,0.0001877,-0.000197
7.0,6.5,7.5,0.04116,2.989e-05,-2.989e-05,0.0001632,-0.0001688
8.0,7.5,8.5,0.03657,2.722e-05,-2.722e-05,0.0001291,-0.0001338
9.0,8.5,9.5,0.03298,2.51e-05,-2.51e-05,9.811e-05,-9.718e-05
10.0,9.5,10.5,0.0301,2.336e-05,-2.336e-05,8.558e-05,-7.283e-05
11.0,10.5,11.5,0.02772,2.191e-05,-2.191e-05,0.0001064,-9.51e-05
12.0,11.5,12.5,0.02575,2.074e-05,-2.074e-05,0.0001083,-0.0001039
13.0,12.5,13.5,0.02397,1.963e-05,-1.963e-05,9.967e-05,-0.0001006
14.0,13.5,14.5,0.02229,1.856e-05,-1.856e-05,9.603e-05,-9.824e-05
15.0,14.5,15.5,0.02083,1.765e-05,-1.765e-05,9.954e-05,-0.0001005
16.0,15.5,16.5,0.0195,1.681e-05,-1.681e-05,0.0001068,-0.0001068
17.0,16.5,17.5,0.01831,1.607e-05,-1.607e-05,0.0001109,-0.0001106
18.0,17.5,18.5,0.01721,1.534e-05,-1.534e-05,0.0001113,-0.0001105
19.0,18.5,19.5,0.0162,1.47e-05,-1.47e-05,0.0001079,-0.0001071
20.0,19.5,20.5,0.01534,1.414e-05,-1.414e-05,0.000105,-0.0001054
21.0,20.5,21.5,0.01449,1.36e-05,-1.36e-05,0.0001151,-0.0001176
22.0,21.5,22.5,0.01368,1.308e-05,-1.308e-05,0.0001246,-0.0001294
23.0,22.5,23.5,0.01293,1.26e-05,-1.26e-05,0.0001301,-0.0001369
24.0,23.5,24.5,0.01216,1.203e-05,-1.203e-05,0.0001298,-0.0001372
25.0,24.5,25.5,0.01151,1.162e-05,-1.162e-05,0.0001296,-0.0001359
26.0,25.5,26.5,0.0109,1.121e-05,-1.121e-05,0.0001271,-0.0001319
27.0,26.5,27.5,0.01027,1.078e-05,-1.078e-05,0.0001219,-0.0001253
28.0,27.5,28.5,0.009735,1.042e-05,-1.042e-05,0.000123,-0.0001261
29.0,28.5,29.5,0.009187,1.004e-05,-1.004e-05,0.0001284,-0.000132
30.0,29.5,30.5,0.008709,9.684e-06,-9.684e-06,0.0001316,-0.0001359
31.0,30.5,31.5,0.008201,9.33e-06,-9.33e-06,0.0001252,-0.0001303
32.0,31.5,32.5,0.007746,8.988e-06,-8.988e-06,0.0001158,-0.0001218
33.0,32.5,33.5,0.007334,8.719e-06,-8.719e-06,0.000112,-0.0001185
34.0,33.5,34.5,0.006944,8.413e-06,-8.413e-06,0.0001136,-0.0001191
35.0,34.5,35.5,0.006548,8.141e-06,-8.141e-06,0.0001158,-0.0001195
36.0,35.5,36.5,0.006158,7.818e-06,-7.818e-06,0.0001183,-0.0001192
37.0,36.5,37.5,0.005828,7.609e-06,-7.609e-06,0.0001197,-0.0001173
38.0,37.5,38.5,0.005491,7.325e-06,-7.325e-06,0.0001175,-0.0001119
39.0,38.5,39.5,0.005188,7.099e-06,-7.099e-06,0.0001168,-0.0001088
40.0,39.5,40.5,0.004895,6.86e-06,-6.86e-06,0.0001131,-0.000104
41.0,40.5,41.5,0.004632,6.673e-06,-6.673e-06,0.0001073,-9.867e-05
42.0,41.5,42.5,0.004364,6.458e-06,-6.458e-06,0.0001023,-9.579e-05
43.0,42.5,43.5,0.004091,6.2e-06,-6.2e-06,9.528e-05,-9.142e-05
44.0,43.5,44.5,0.003911,6.089e-06,-6.089e-06,9.077e-05,-9.068e-05
45.0,44.5,45.5,0.003659,5.878e-06,-5.878e-06,8.853e-05,-9.047e-05
46.0,45.5,46.5,0.003453,5.686e-06,-5.686e-06,8.673e-05,-8.975e-05
47.0,46.5,47.5,0.003256,5.513e-06,-5.513e-06,8.431e-05,-8.709e-05
48.0,47.5,48.5,0.003062,5.341e-06,-5.341e-06,8.496e-05,-8.659e-05
49.0,48.5,49.5,0.002854,5.134e-06,-5.134e-06,8.316e-05,-8.314e-05
50.0,49.5,50.5,0.002697,4.988e-06,-4.988e-06,8.399e-05,-8.275e-05
51.0,50.5,51.5,0.0025,4.773e-06,-4.773e-06,8.464e-05,-8.227e-05
52.0,51.5,52.5,0.00238,4.701e-06,-4.701e-06,8.354e-05,-8.07e-05
53.0,52.5,53.5,0.002228,4.522e-06,-4.522e-06,8.068e-05,-7.73e-05
54.0,53.5,54.5,0.002085,4.374e-06,-4.374e-06,8.083e-05,-7.733e-05
55.0,54.5,55.5,0.001954,4.226e-06,-4.226e-06,8.216e-05,-7.854e-05
56.0,55.5,56.5,0.00185,4.125e-06,-4.125e-06,8.304e-05,-7.955e-05
57.0,56.5,57.5,0.001742,4.021e-06,-4.021e-06,8.112e-05,-7.739e-05
58.0,57.5,58.5,0.001608,3.828e-06,-3.828e-06,7.672e-05,-7.302e-05
59.0,58.5,59.5,0.001526,3.759e-06,-3.759e-06,7.578e-05,-7.215e-05
60.0,59.5,60.5,0.001432,3.646e-06,-3.646e-06,7.373e-05,-7.032e-05
61.48,60.5,62.5,0.001297,2.451e-06,-2.451e-06,7.078e-05,-6.781e-05
63.48,62.5,64.5,0.001128,2.292e-06,-2.292e-06,6.705e-05,-6.484e-05
