#: table_doi: 10.17182/hepdata.72491.v1/t12
#: name: Table 12
#: description: Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles >=1 having transverse momentum >500 MeV and absolute(pseudorapidity) <0.8.

#: data_file: Table12.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: DN/DETARAP/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering
#: ETARAP(P=3),,,-0.8-0.8
#: N(P=3),,,>= 1
#: PT(P=3) [MEV],,,> 500
#: RE,,,P P --> CHARGED X
#: SQRTS(S) [GeV],,,13000.0
PT(P=3) [GEV],PT(P=3) [GEV] LOW,PT(P=3) [GEV] HIGH,(1/NEV)*(1/(2PI*PT(P=3))*DN(P=3)/DETARAP(P=3)/DPT(P=3) [GEV**-2],stat +,stat -,sys +,sys -
0.5481,0.5,0.6,2.022,0.0007464,-0.0007464,0.01634,-0.01645
0.6481,0.6,0.7,1.329,0.0005536,-0.0005536,0.01075,-0.01082
0.7481,0.7,0.8,0.9037,0.0003657,-0.0003657,0.008164,-0.00821
0.8482,0.8,0.9,0.6288,0.0002928,-0.0002928,0.005739,-0.00577
0.9482,0.9,1.0,0.4471,0.000235,-0.000235,0.004151,-0.004171
1.049,1.0,1.1,0.3239,0.000205,-0.000205,0.002975,-0.00299
1.149,1.1,1.2,0.2382,0.000148,-0.000148,0.0022,-0.002211
1.249,1.2,1.3,0.1778,0.0001279,-0.0001279,0.001629,-0.001637
1.349,1.3,1.4,0.1344,0.0001075,-0.0001075,0.001234,-0.001241
1.449,1.4,1.5,0.1026,9.78e-05,-9.78e-05,0.0009308,-0.000936
1.549,1.5,1.6,0.07937,7.973e-05,-7.973e-05,0.0007181,-0.0007222
1.649,1.6,1.7,0.06167,7.743e-05,-7.743e-05,0.0005592,-0.0005624
1.749,1.7,1.8,0.0485,5.997e-05,-5.997e-05,0.0004411,-0.0004435
1.849,1.8,1.9,0.03836,4.775e-05,-4.775e-05,0.0003499,-0.0003519
1.949,1.9,2.0,0.03062,4.507e-05,-4.507e-05,0.0002795,-0.000281
2.049,2.0,2.1,0.0244,3.536e-05,-3.536e-05,0.0002194,-0.0002207
2.149,2.1,2.2,0.0198,3.248e-05,-3.248e-05,0.0001784,-0.0001794
2.249,2.2,2.3,0.01595,2.543e-05,-2.543e-05,0.0001444,-0.0001453
2.349,2.3,2.4,0.01306,2.357e-05,-2.357e-05,0.000119,-0.0001197
2.449,2.4,2.5,0.01068,2.238e-05,-2.238e-05,9.775e-05,-9.827e-05
2.596,2.5,2.7,0.008049,1.322e-05,-1.322e-05,7.377e-05,-7.417e-05
2.796,2.7,2.9,0.005552,1.257e-05,-1.257e-05,5.132e-05,-5.159e-05
2.996,2.9,3.1,0.003893,8.354e-06,-8.354e-06,3.654e-05,-3.672e-05
3.197,3.1,3.3,0.002798,6.264e-06,-6.264e-06,2.661e-05,-2.673e-05
3.397,3.3,3.5,0.002014,5.622e-06,-5.622e-06,1.943e-05,-1.951e-05
3.726,3.5,4.0,0.001212,2.439e-06,-2.439e-06,1.202e-05,-1.205e-05
4.229,4.0,4.5,0.0005989,1.617e-06,-1.617e-06,6.406e-06,-6.425e-06
4.731,4.5,5.0,0.0003225,1.065e-06,-1.065e-06,3.535e-06,-3.544e-06
5.43,5.0,6.0,0.000142,4.2e-07,-4.2e-07,1.535e-06,-1.539e-06
6.441,6.0,7.0,5.317e-05,2.263e-07,-2.263e-07,5.851e-07,-5.865e-07
7.445,7.0,8.0,2.307e-05,1.151e-07,-1.151e-07,2.591e-07,-2.596e-07
8.449,8.0,9.0,1.111e-05,6.707e-08,-6.707e-08,1.587e-07,-1.588e-07
9.466,9.0,10.0,5.5e-06,4.002e-08,-4.002e-08,7.832e-08,-7.841e-08
11.7,10.0,15.0,1.458e-06,1.103e-08,-1.103e-08,2.576e-08,-2.577e-08
17.02,15.0,20.0,1.782e-07,2.607e-09,-2.607e-09,3.665e-09,-3.666e-09
23.64,20.0,30.0,2.487e-08,6.561e-10,-6.561e-10,6.891e-10,-6.893e-10
36.29,30.0,50.0,1.588e-09,1.077e-10,-1.077e-10,8.615e-11,-8.611e-11

