#: table_doi: 10.17182/hepdata.72491.v1/t13
#: name: Table 13
#: description: Charged-particle multiplicity distribution in proton-proton collisions at a centre-of-mass energy of 13000 GeV for events with the number of charged particles >=1 having transverse momentum >500 MeV and absolute(pseudorapidity) <0.8.

#: data_file: Table13.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: DNEV/DN
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: ETARAP(P=3),,,-0.8-0.8
#: N(P=3),,,>= 1
#: PT(P=3) [MEV],,,> 500
#: RE,,,P P --> CHARGED X
#: SQRTS(S) [GeV],,,13000.0
N(P=3),N(P=3) LOW,N(P=3) HIGH,(1/NEV)*DNEV/DN(P=3),stat +,stat -,sys +,sys -
1.0,0.5,1.5,0.2131,0.0001594,-0.0001594,0.004437,-0.004445
2.0,1.5,2.5,0.1531,0.0001057,-0.0001057,0.0005948,-0.0006146
3.0,2.5,3.5,0.1118,8.037e-05,-8.037e-05,0.0004009,-0.0004154
4.0,3.5,4.5,0.08655,6.528e-05,-6.528e-05,0.0002002,-0.0002116
5.0,4.5,5.5,0.06984,5.512e-05,-5.512e-05,7.867e-05,-8.562e-05
6.0,5.5,6.5,0.05781,4.78e-05,-4.78e-05,3.938e-05,-2.838e-05
7.0,6.5,7.5,0.04833,4.19e-05,-4.19e-05,1.781e-06,-2.211e-05
8.0,7.5,8.5,0.04079,3.719e-05,-3.719e-05,2.824e-05,-6.888e-05
9.0,8.5,9.5,0.03453,3.319e-05,-3.319e-05,7.213e-05,-0.0001021
10.0,9.5,10.5,0.02922,2.972e-05,-2.972e-05,0.0001023,-0.0001383
11.0,10.5,11.5,0.02478,2.67e-05,-2.67e-05,0.0001364,-0.000152
12.0,11.5,12.5,0.02102,2.409e-05,-2.409e-05,0.0001545,-0.0001556
13.0,12.5,13.5,0.01775,2.165e-05,-2.165e-05,0.0001606,-0.0001584
14.0,13.5,14.5,0.01499,1.955e-05,-1.955e-05,0.0001635,-0.0001573
15.0,14.5,15.5,0.01267,1.764e-05,-1.764e-05,0.0001617,-0.0001514
16.0,15.5,16.5,0.01067,1.595e-05,-1.595e-05,0.0001558,-0.0001452
17.0,16.5,17.5,0.008956,1.439e-05,-1.439e-05,0.000148,-0.0001382
18.0,17.5,18.5,0.007536,1.303e-05,-1.303e-05,0.0001401,-0.0001296
19.0,18.5,19.5,0.006274,1.168e-05,-1.168e-05,0.0001307,-0.0001188
20.0,19.5,20.5,0.005263,1.058e-05,-1.058e-05,0.0001222,-0.0001091
21.0,20.5,21.5,0.004408,9.58e-06,-9.58e-06,0.0001126,-0.0001004
22.0,21.5,22.5,0.003688,8.707e-06,-8.707e-06,0.0001036,-9.268e-05
23.0,22.5,23.5,0.003051,7.818e-06,-7.818e-06,9.51e-05,-8.34e-05
24.0,23.5,24.5,0.002514,6.998e-06,-6.998e-06,8.578e-05,-7.376e-05
25.0,24.5,25.5,0.002066,6.261e-06,-6.261e-06,7.615e-05,-6.459e-05
26.0,25.5,26.5,0.001687,5.578e-06,-5.578e-06,6.635e-05,-5.596e-05
27.0,26.5,27.5,0.001395,5.059e-06,-5.059e-06,5.777e-05,-4.95e-05
28.0,27.5,28.5,0.001142,4.508e-06,-4.508e-06,5.052e-05,-4.315e-05
29.0,28.5,29.5,0.0009266,4.004e-06,-4.004e-06,4.419e-05,-3.682e-05
30.0,29.5,30.5,0.0007858,3.725e-06,-3.725e-06,4.006e-05,-3.254e-05
31.0,30.5,31.5,0.0006533,3.384e-06,-3.384e-06,3.489e-05,-2.823e-05
32.0,31.5,32.5,0.000533,3.026e-06,-3.026e-06,2.972e-05,-2.415e-05
33.0,32.5,33.5,0.0004219,2.627e-06,-2.627e-06,2.446e-05,-2.026e-05
34.0,33.5,34.5,0.0003378,2.344e-06,-2.344e-06,2.09e-05,-1.718e-05
35.0,34.5,35.5,0.000272,2.081e-06,-2.081e-06,1.794e-05,-1.437e-05
36.0,35.5,36.5,0.000211,1.796e-06,-1.796e-06,1.455e-05,-1.148e-05
37.0,36.5,37.5,0.0001801,1.679e-06,-1.679e-06,1.287e-05,-1.015e-05
38.0,37.5,38.5,0.0001437,1.45e-06,-1.45e-06,1.079e-05,-8.59e-06
39.0,38.5,39.5,0.0001126,1.303e-06,-1.303e-06,8.878e-06,-7.15e-06
40.0,39.5,40.5,9.495e-05,1.167e-06,-1.167e-06,7.759e-06,-6.052e-06
41.0,40.5,41.5,7.233e-05,9.994e-07,-9.994e-07,6.094e-06,-4.791e-06
42.0,41.5,42.5,5.903e-05,8.912e-07,-8.912e-07,5.197e-06,-3.814e-06
43.0,42.5,43.5,4.889e-05,8.38e-07,-8.38e-07,4.412e-06,-3.154e-06
44.0,43.5,44.5,3.72e-05,7.119e-07,-7.119e-07,3.348e-06,-2.469e-06
45.0,44.5,45.5,3.23e-05,6.836e-07,-6.836e-07,3.004e-06,-2.272e-06
47.14,45.5,50.0,1.681e-05,2.317e-07,-2.317e-07,1.645e-06,-1.173e-06
51.5,50.0,55.0,7.33e-06,1.476e-07,-1.476e-07,7.269e-07,-6.286e-07

